model,status,material_constants_source,nprops,ntens,nstatv,load_case,plasticity_expected,plasticity_reached,max_abs_difference,max_rel_difference,stress_pass,statev_pass,ddsdde_pass,convergence_pass,activation_pass,environment_caveat,blocker,seconds
m1_elastic,passed,declared by the source's contract,2,6,0,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.77
m2_cubic,passed,declared by the source's contract,3,6,0,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.18
m3_j2,passed,declared by the source's contract,4,6,1,single element plastic probe,True,True,7.831957196495487e-13,3.335143325193696e-18,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.83
m5_cpflow,tangent_not_comparable,declared by the source's contract,8,6,1,single element plastic probe,True,True,23834.140625,0.08852680408362482,False,True,False,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting","the state the material reached and the convergence behaviour agree between the two builds; the returned tangents differ by 0.08852680408362482 relative, and the converged stress follows the tangent Abaqus was given. The source leaves DDSDDE at the elastic predictor (4 assignments to DDSDDE, 0 of them inside a yield branch), so replacing it is what the transform is for and the two tangents must differ. A paired run holds only those two and cannot say which is right; the offline route judges the generated tangent against an independent reference instead. Not counted as verified here.",39.8
m6_fcc,passed,declared by the source's contract,10,6,12,single element tension,False,,1.644879141677202e-26,9.790947271888108e-32,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,40.23
sweep_aniso_ortho,passed,declared by the source's contract,9,6,0,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.48
sweep_damage_elastic,passed,declared by the source's contract,3,6,0,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,38.89
sweep_drucker_prager,tangent_not_comparable,declared by the source's contract,4,6,1,single element plastic probe,True,True,9142.857421875,0.380952392578125,False,True,False,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting","the state the material reached and the convergence behaviour agree between the two builds; the returned tangents differ by 0.380952392578125 relative, and the converged stress follows the tangent Abaqus was given. The source leaves DDSDDE at the elastic predictor (4 assignments to DDSDDE, 0 of them inside a yield branch), so replacing it is what the transform is for and the two tangents must differ. A paired run holds only those two and cannot say which is right; the offline route judges the generated tangent against an independent reference instead. Not counted as verified here.",39.37
sweep_eco,passed,declared by the source's contract,2,6,0,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.06
sweep_j2_bilinear,passed,declared by the source's contract,4,6,1,single element plastic probe,True,True,1.065392999516357e-12,4.6456303216857176e-18,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.53
sweep_j2_combined,passed,declared by the source's contract,5,6,7,single element plastic probe,True,True,126.52734375,0.0005641683645189149,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.9
sweep_j2_kinematic,passed,declared by the source's contract,4,6,6,single element plastic probe,True,True,2.5999324221315234e-12,1.1595502877865205e-17,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.85
sweep_lame_elastic,passed,declared by the source's contract,2,6,0,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.01
sweep_maxwell_ve,passed,declared by the source's contract,3,6,6,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.45
sweep_mooney_small,passed,declared by the source's contract,2,6,0,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.14
sweep_perzyna_linear,passed,declared by the source's contract,4,6,1,single element plastic probe,True,True,9.512100308806115e-13,4.1621417865253296e-18,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.44
sweep_real_ECL_TEMP,passed,declared by the source's contract,5,6,0,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.31
sweep_real_PCO,tangent_not_comparable,declared by the source's contract,4,6,1,single element plastic probe,True,True,106810.703125,0.3778337733361603,False,True,False,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting","the state the material reached and the convergence behaviour agree between the two builds; the returned tangents differ by 0.3778337733361603 relative, and the converged stress follows the tangent Abaqus was given. The source leaves DDSDDE at the elastic predictor (6 assignments to DDSDDE, 0 of them inside a yield branch), so replacing it is what the transform is for and the two tangents must differ. A paired run holds only those two and cannot say which is right; the offline route judges the generated tangent against an independent reference instead. Not counted as verified here.",39.51
sweep_thermoelastic,passed,declared by the source's contract,3,6,0,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,38.97
sweep_transiso,passed,declared by the source's contract,5,6,0,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,38.85
jgomezc1_UMAT_ECO,passed,declared by the source's contract,4,6,1,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,39.13
jgomezc1_UMAT_NKH_1.02,passed,declared by the source's contract,24,4,16,single element plastic probe,True,True,0.0703125,2.3868559027907848e-06,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,37.41
jgomezc1_UMAT_PCL,passed,declared by the source's contract,6,4,13,single element plastic probe,True,True,3.3023799352657063e-13,1.491471753217692e-18,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,35.69
jgomezc1_UMAT_PCLK,passed,declared by the source's contract,6,4,14,single element plastic probe,True,True,4.4560255279494504e-14,7.592456088627616e-19,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,35.12
jgomezc1_UMAT_PCO,passed,declared by the source's contract,8,6,14,single element plastic probe,True,True,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,40.78
jgomezc1_UMAT_VPDCL,failed,declared by the source's contract,24,4,16,single element plastic probe,True,True,0.236328125,7.888583986787339e-06,True,False,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",compared,35.51
jgomezc1_UMAT_VPDCO,failed,declared by the source's contract,26,6,22,single element plastic probe,True,True,9.05859375,0.00016058137798903642,True,False,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",compared,42.46
lucarini_crystalplasticity,transform_failed,,160,6,172,single element plastic probe,True,,,,,,,,,,transform_failed,0.87
lucarini_elastoplastic,passed,declared by the source's contract,4,6,7,single element plastic probe,True,True,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,88.04
lucarini_neohookean,passed,declared by the source's contract,2,6,1,single element tension,False,,0.0,0.0,True,True,True,True,True,"Original Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting do; Transformed Abaqus validation job: The analysis completed and wrote its results, then the process aborted while shutting",,38.97
