increment,branch,stress_component,order,directions,recovery_factor,oti_derivative,fd_reference,absolute_error,relative_error,absolute_tolerance,relative_tolerance,passed
1,elastic,1,2,1|1,2,0.0,-1.4185905456542969e-05,1.4185905456542969e-05,1.0,0.002,2e-05,True
1,elastic,2,2,1|1,2,0.0,1.438365870853886e-07,1.438365870853886e-07,1.0,0.002,2e-05,True
1,elastic,3,2,1|1,2,0.0,-7.0035457611083984e-06,7.0035457611083984e-06,1.0,0.002,2e-05,True
1,elastic,4,2,1|1,2,0.0,0.0,0.0,0.0,0.002,2e-05,True
1,elastic,1,2,1|2,1,0.0,2.4774344637989998e-06,2.4774344637989998e-06,1.0,0.002,2e-05,True
1,elastic,2,2,1|2,1,0.0,-4.2980536818504333e-07,4.2980536818504333e-07,1.0,0.002,2e-05,True
1,elastic,3,2,1|2,1,0.0,1.9682920537889004e-07,1.9682920537889004e-07,1.0,0.002,2e-05,True
1,elastic,4,2,1|2,1,0.0,0.0,0.0,0.0,0.002,2e-05,True
1,elastic,1,3,1|1|1,6,0.0,0.53125,0.53125,1.0,5.0,2e-05,True
1,elastic,2,3,1|1|1,6,0.0,-0.482421875,0.482421875,1.0,5.0,2e-05,True
1,elastic,3,3,1|1|1,6,0.0,-0.603515625,0.603515625,1.0,5.0,2e-05,True
1,elastic,4,3,1|1|1,6,0.0,0.0,0.0,0.0,5.0,2e-05,True
1,elastic,1,3,1|1|2,2,0.0,-0.15447044372558594,0.15447044372558594,1.0,5.0,2e-05,True
1,elastic,2,3,1|1|2,2,0.0,0.010915756225585938,0.010915756225585938,1.0,5.0,2e-05,True
1,elastic,3,3,1|1|2,2,0.0,0.07885622978210449,0.07885622978210449,1.0,5.0,2e-05,True
1,elastic,4,3,1|1|2,2,0.0,0.0,0.0,0.0,5.0,2e-05,True
1,elastic,1,4,1|1|1|1,24,0.0,29440.0,29440.0,1.0,40000.0,2e-05,True
1,elastic,2,4,1|1|1|1,24,0.0,-1001.05078125,1001.05078125,1.0,40000.0,2e-05,True
1,elastic,3,4,1|1|1|1,24,0.0,-15808.0,15808.0,1.0,40000.0,2e-05,True
1,elastic,4,4,1|1|1|1,24,0.0,0.0,0.0,0.0,40000.0,2e-05,True
1,elastic,1,4,1|1|2|2,4,0.0,-33211.546875,33211.546875,1.0,40000.0,2e-05,True
1,elastic,2,4,1|1|2|2,4,0.0,2114.158203125,2114.158203125,1.0,40000.0,2e-05,True
1,elastic,3,4,1|1|2|2,4,0.0,-1983.1953125,1983.1953125,1.0,40000.0,2e-05,True
