order,member_name,flat_getim_index,bases_multiindex,recovery_factor
1,E1,1,1,1
1,E2,2,2,1
1,E3,3,3,1
1,E4,4,4,1
2,E11,5,1|1,2
2,E12,6,1|2,1
2,E22,7,2|2,2
2,E13,8,1|3,1
2,E23,9,2|3,1
2,E33,10,3|3,2
2,E14,11,1|4,1
2,E24,12,2|4,1
2,E34,13,3|4,1
2,E44,14,4|4,2
3,E111,15,1|1|1,6
3,E112,16,1|1|2,2
3,E122,17,1|2|2,2
3,E222,18,2|2|2,6
3,E113,19,1|1|3,2
3,E123,20,1|2|3,1
3,E133,21,1|3|3,2
3,E223,22,2|2|3,2
3,E233,23,2|3|3,2
3,E333,24,3|3|3,6
3,E114,25,1|1|4,2
3,E124,26,1|2|4,1
3,E134,27,1|3|4,1
3,E144,28,1|4|4,2
3,E224,29,2|2|4,2
3,E234,30,2|3|4,1
3,E244,31,2|4|4,2
3,E334,32,3|3|4,2
3,E344,33,3|4|4,2
3,E444,34,4|4|4,6
4,E1111,35,1|1|1|1,24
4,E1112,36,1|1|1|2,6
4,E1122,37,1|1|2|2,4
4,E1222,38,1|2|2|2,6
4,E2222,39,2|2|2|2,24
4,E1113,40,1|1|1|3,6
4,E1123,41,1|1|2|3,2
4,E1133,42,1|1|3|3,4
4,E1223,43,1|2|2|3,2
4,E1233,44,1|2|3|3,2
4,E1333,45,1|3|3|3,6
4,E2223,46,2|2|2|3,6
4,E2233,47,2|2|3|3,4
4,E2333,48,2|3|3|3,6
4,E3333,49,3|3|3|3,24
4,E1114,50,1|1|1|4,6
4,E1124,51,1|1|2|4,2
4,E1134,52,1|1|3|4,2
4,E1144,53,1|1|4|4,4
4,E1224,54,1|2|2|4,2
4,E1234,55,1|2|3|4,1
4,E1244,56,1|2|4|4,2
4,E1334,57,1|3|3|4,2
4,E1344,58,1|3|4|4,2
4,E1444,59,1|4|4|4,6
4,E2224,60,2|2|2|4,6
4,E2234,61,2|2|3|4,2
4,E2244,62,2|2|4|4,4
4,E2334,63,2|3|3|4,2
4,E2344,64,2|3|4|4,2
4,E2444,65,2|4|4|4,6
4,E3334,66,3|3|3|4,6
4,E3344,67,3|3|4|4,4
4,E3444,68,3|4|4|4,6
4,E4444,69,4|4|4|4,24
