increment,stress_1,stress_2,stress_3,stress_4,stress_5,stress_6,eqplas
1,  6.7307692307692307E+01,  2.8846153846153843E+01,  2.8846153846153843E+01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
2,  1.3461538461538461E+02,  5.7692307692307686E+01,  5.7692307692307686E+01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
3,  2.0192307692307691E+02,  8.6538461538461533E+01,  8.6538461538461533E+01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
4,  2.6923076923076923E+02,  1.1538461538461537E+02,  1.1538461538461537E+02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
5,  3.3653846153846155E+02,  1.4423076923076923E+02,  1.4423076923076923E+02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
6,  4.0384615384615387E+02,  1.7307692307692307E+02,  1.7307692307692307E+02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
7,  4.5844348975545273E+02,  2.0827825512227363E+02,  2.0827825512227363E+02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  8.2617316589557411E-05
8,  5.0033046926635825E+02,  2.4983476536682087E+02,  2.4983476536682087E+02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  2.4785194976867175E-04
9,  5.4221744877726371E+02,  2.9139127561136814E+02,  2.9139127561136814E+02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  4.1308658294778597E-04
10,  5.8410442828816917E+02,  3.3294778585591541E+02,  3.3294778585591541E+02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  5.7832121612690004E-04
11,  6.2599140779907464E+02,  3.7450429610046262E+02,  3.7450429610046262E+02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  7.4355584930601399E-04
12,  6.6787838730998010E+02,  4.1606080634500984E+02,  4.1606080634500984E+02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.0879048248512795E-04
13,  7.0073518883957399E+02,  4.4331317417901505E+02,  4.5595163698141062E+02,  1.2638462802395622E+01,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.1463416464445010E-03
14,  4.3150441960880477E+02,  3.2792855879439969E+02,  3.4056702159679526E+02,  1.2638462802395622E+01,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.1463416464445010E-03
15,  5.6611980422418935E+02,  3.8562086648670737E+02,  3.9825932928910294E+02, -2.7461525822197626E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.1463416464445010E-03
