order,member_name,flat_getim_index,bases_multiindex,recovery_factor
1,E1,1,1,1
1,E2,2,2,1
1,E3,3,3,1
1,E4,4,4,1
1,E5,5,5,1
1,E6,6,6,1
2,E11,7,1|1,2
2,E12,8,1|2,1
2,E22,9,2|2,2
2,E13,10,1|3,1
2,E23,11,2|3,1
2,E33,12,3|3,2
2,E14,13,1|4,1
2,E24,14,2|4,1
2,E34,15,3|4,1
2,E44,16,4|4,2
2,E15,17,1|5,1
2,E25,18,2|5,1
2,E35,19,3|5,1
2,E45,20,4|5,1
2,E55,21,5|5,2
2,E16,22,1|6,1
2,E26,23,2|6,1
2,E36,24,3|6,1
2,E46,25,4|6,1
2,E56,26,5|6,1
2,E66,27,6|6,2
3,E111,28,1|1|1,6
3,E112,29,1|1|2,2
3,E122,30,1|2|2,2
3,E222,31,2|2|2,6
3,E113,32,1|1|3,2
3,E123,33,1|2|3,1
3,E133,34,1|3|3,2
3,E223,35,2|2|3,2
3,E233,36,2|3|3,2
3,E333,37,3|3|3,6
3,E114,38,1|1|4,2
3,E124,39,1|2|4,1
3,E134,40,1|3|4,1
3,E144,41,1|4|4,2
3,E224,42,2|2|4,2
3,E234,43,2|3|4,1
3,E244,44,2|4|4,2
3,E334,45,3|3|4,2
3,E344,46,3|4|4,2
3,E444,47,4|4|4,6
3,E115,48,1|1|5,2
3,E125,49,1|2|5,1
3,E135,50,1|3|5,1
3,E145,51,1|4|5,1
3,E155,52,1|5|5,2
3,E225,53,2|2|5,2
3,E235,54,2|3|5,1
3,E245,55,2|4|5,1
3,E255,56,2|5|5,2
3,E335,57,3|3|5,2
3,E345,58,3|4|5,1
3,E355,59,3|5|5,2
3,E445,60,4|4|5,2
3,E455,61,4|5|5,2
3,E555,62,5|5|5,6
3,E116,63,1|1|6,2
3,E126,64,1|2|6,1
3,E136,65,1|3|6,1
3,E146,66,1|4|6,1
3,E156,67,1|5|6,1
3,E166,68,1|6|6,2
3,E226,69,2|2|6,2
3,E236,70,2|3|6,1
3,E246,71,2|4|6,1
