increment,branch,row,column,oti,analytic_reference,extended_precision_reference,reference_spread,reference_spread_relative,matrix_scale,structural_zero_floor,relative_tolerance,absolute_error,relative_error,reference_classification,judged_by,agrees,justification
1,elastic,1,1,269230.76923076925,269230.76923076925,269230.76923076925,0.0,0.0,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,relative,True,"relative error against the closed-form consistent tangent, with a denominator of max(|reference|,|oti|) = 2.692308e+05; the extended-precision difference confirms the reference to 0.000e+00 relative"
1,elastic,1,2,115384.61538461538,115384.61538461538,115384.61538461539,1.4551915228366852e-11,1.2611659864584604e-16,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,relative,True,"relative error against the closed-form consistent tangent, with a denominator of max(|reference|,|oti|) = 1.153846e+05; the extended-precision difference confirms the reference to 1.261e-16 relative"
1,elastic,1,3,115384.61538461538,115384.61538461538,115384.61538461539,1.4551915228366852e-11,1.2611659864584604e-16,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,relative,True,"relative error against the closed-form consistent tangent, with a denominator of max(|reference|,|oti|) = 1.153846e+05; the extended-precision difference confirms the reference to 1.261e-16 relative"
1,elastic,1,4,0.0,0.0,-1.6926890367985111e-75,1.6926890367985111e-75,1.0,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,structural_zero,True,"both references place this entry below 2.692e-07, which is 1e-12 of the largest entry of the same tangent (2.692308e+05), so it is a zero of the matrix; the value is 0.000e+00"
1,elastic,1,5,0.0,0.0,-1.6926890367985111e-75,1.6926890367985111e-75,1.0,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,structural_zero,True,"both references place this entry below 2.692e-07, which is 1e-12 of the largest entry of the same tangent (2.692308e+05), so it is a zero of the matrix; the value is 0.000e+00"
1,elastic,1,6,0.0,0.0,-1.6926890367985111e-75,1.6926890367985111e-75,1.0,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,structural_zero,True,"both references place this entry below 2.692e-07, which is 1e-12 of the largest entry of the same tangent (2.692308e+05), so it is a zero of the matrix; the value is 0.000e+00"
1,elastic,2,1,115384.61538461538,115384.61538461538,115384.61538461539,1.4551915228366852e-11,1.2611659864584604e-16,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,relative,True,"relative error against the closed-form consistent tangent, with a denominator of max(|reference|,|oti|) = 1.153846e+05; the extended-precision difference confirms the reference to 1.261e-16 relative"
1,elastic,2,2,269230.76923076925,269230.76923076925,269230.76923076925,0.0,0.0,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,relative,True,"relative error against the closed-form consistent tangent, with a denominator of max(|reference|,|oti|) = 2.692308e+05; the extended-precision difference confirms the reference to 0.000e+00 relative"
1,elastic,2,3,115384.61538461538,115384.61538461538,115384.61538461539,1.4551915228366852e-11,1.2611659864584604e-16,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,relative,True,"relative error against the closed-form consistent tangent, with a denominator of max(|reference|,|oti|) = 1.153846e+05; the extended-precision difference confirms the reference to 1.261e-16 relative"
1,elastic,2,4,0.0,0.0,-8.636168555094445e-78,8.636168555094445e-78,1.0,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,structural_zero,True,"both references place this entry below 2.692e-07, which is 1e-12 of the largest entry of the same tangent (2.692308e+05), so it is a zero of the matrix; the value is 0.000e+00"
1,elastic,2,5,0.0,0.0,-8.636168555094445e-78,8.636168555094445e-78,1.0,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,structural_zero,True,"both references place this entry below 2.692e-07, which is 1e-12 of the largest entry of the same tangent (2.692308e+05), so it is a zero of the matrix; the value is 0.000e+00"
1,elastic,2,6,0.0,0.0,-8.636168555094445e-78,8.636168555094445e-78,1.0,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,structural_zero,True,"both references place this entry below 2.692e-07, which is 1e-12 of the largest entry of the same tangent (2.692308e+05), so it is a zero of the matrix; the value is 0.000e+00"
1,elastic,3,1,115384.61538461538,115384.61538461538,115384.61538461539,1.4551915228366852e-11,1.2611659864584604e-16,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,relative,True,"relative error against the closed-form consistent tangent, with a denominator of max(|reference|,|oti|) = 1.153846e+05; the extended-precision difference confirms the reference to 1.261e-16 relative"
1,elastic,3,2,115384.61538461538,115384.61538461538,115384.61538461539,1.4551915228366852e-11,1.2611659864584604e-16,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,relative,True,"relative error against the closed-form consistent tangent, with a denominator of max(|reference|,|oti|) = 1.153846e+05; the extended-precision difference confirms the reference to 1.261e-16 relative"
1,elastic,3,3,269230.76923076925,269230.76923076925,269230.76923076925,0.0,0.0,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,relative,True,"relative error against the closed-form consistent tangent, with a denominator of max(|reference|,|oti|) = 2.692308e+05; the extended-precision difference confirms the reference to 0.000e+00 relative"
1,elastic,3,4,0.0,0.0,-8.636168555094445e-78,8.636168555094445e-78,1.0,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,structural_zero,True,"both references place this entry below 2.692e-07, which is 1e-12 of the largest entry of the same tangent (2.692308e+05), so it is a zero of the matrix; the value is 0.000e+00"
1,elastic,3,5,0.0,0.0,-8.636168555094445e-78,8.636168555094445e-78,1.0,269230.76923076925,2.692307692307692e-07,1e-09,0.0,0.0,resolved,structural_zero,True,"both references place this entry below 2.692e-07, which is 1e-12 of the largest entry of the same tangent (2.692308e+05), so it is a zero of the matrix; the value is 0.000e+00"
