model,branch,order,comparison_rows,passed_rows,failed_rows,max_absolute_error,max_relative_error_when_absolute_tolerance_exceeded,absolute_tolerance,relative_tolerance,reference_method
controlled_j2_actual_umat,elastic,2,12,12,0,1.9582906007962765e-70,0.0,1e-05,1e-07,independent_high_precision_centered_finite_difference
controlled_j2_actual_umat,elastic,3,12,12,0,1.038577722192478e-65,0.0,0.02,1e-07,independent_high_precision_centered_finite_difference
controlled_j2_actual_umat,elastic,4,12,12,0,5.163157988350416e-60,0.0,0.1,1e-07,independent_high_precision_centered_finite_difference
controlled_j2_actual_umat,plastic,2,24,24,0,5.131121724843979e-06,0.0,1e-05,1e-07,independent_high_precision_centered_finite_difference
controlled_j2_actual_umat,plastic,3,24,24,0,6.46742057800293,1.9367542501703836e-09,0.02,1e-07,independent_high_precision_centered_finite_difference
controlled_j2_actual_umat,plastic,4,24,24,0,12320.98046875,1.6785205953533767e-09,0.1,1e-07,independent_high_precision_centered_finite_difference
code_imp_legacy_umat,elastic,2,8,8,0,1.4185905456542969e-05,0.0,0.002,2e-05,independently_compiled_original_umat_centered_finite_difference
code_imp_legacy_umat,elastic,3,8,8,0,0.603515625,0.0,5.0,2e-05,independently_compiled_original_umat_centered_finite_difference
code_imp_legacy_umat,elastic,4,8,8,0,33211.546875,0.0,40000.0,2e-05,independently_compiled_original_umat_centered_finite_difference
code_imp_legacy_umat,plastic,2,24,24,0,8.01699773222208,2.296202064970266e-06,0.002,2e-05,independently_compiled_original_umat_centered_finite_difference
code_imp_legacy_umat,plastic,3,24,24,0,11635.817686080933,3.4876621328268337e-06,5.0,2e-05,independently_compiled_original_umat_centered_finite_difference
code_imp_legacy_umat,plastic,4,24,24,0,19666079.65625,2.734603158976211e-06,40000.0,2e-05,independently_compiled_original_umat_centered_finite_difference
