increment,stress_component,method,E,NU,SIGY0,H
1,1,centered_fd,2.0192307691e-04,1.1316568048e+02,0.0000000000e+00,0.0000000000e+00
1,2,centered_fd,8.6538461543e-05,1.3091715976e+02,0.0000000000e+00,0.0000000000e+00
1,3,centered_fd,8.6538461543e-05,1.3091715976e+02,0.0000000000e+00,0.0000000000e+00
1,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2,1,centered_fd,4.0384615382e-04,2.2633136096e+02,0.0000000000e+00,0.0000000000e+00
2,2,centered_fd,1.7307692309e-04,2.6183431953e+02,0.0000000000e+00,0.0000000000e+00
2,3,centered_fd,1.7307692309e-04,2.6183431953e+02,0.0000000000e+00,0.0000000000e+00
2,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3,1,centered_fd,6.0576923072e-04,3.3949704143e+02,0.0000000000e+00,0.0000000000e+00
3,2,centered_fd,2.5961538464e-04,3.9275147929e+02,0.0000000000e+00,0.0000000000e+00
3,3,centered_fd,2.5961538464e-04,3.9275147929e+02,0.0000000000e+00,0.0000000000e+00
3,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4,1,centered_fd,8.0769230763e-04,4.5266272191e+02,0.0000000000e+00,0.0000000000e+00
4,2,centered_fd,3.4615384617e-04,5.2366863905e+02,0.0000000000e+00,0.0000000000e+00
4,3,centered_fd,3.4615384617e-04,5.2366863905e+02,0.0000000000e+00,0.0000000000e+00
