increment,stress_component,method,E,NU,SIGY0,H
1,1,oti,  2.019230769230769E-04,  1.131656804733728E+02,  0.000000000000000E+00,  0.000000000000000E+00
1,2,oti,  8.653846153846152E-05,  1.309171597633136E+02,  0.000000000000000E+00,  0.000000000000000E+00
1,3,oti,  8.653846153846152E-05,  1.309171597633136E+02,  0.000000000000000E+00,  0.000000000000000E+00
1,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
1,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
1,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
2,1,oti,  4.038461538461538E-04,  2.263313609467455E+02,  0.000000000000000E+00,  0.000000000000000E+00
2,2,oti,  1.730769230769230E-04,  2.618343195266272E+02,  0.000000000000000E+00,  0.000000000000000E+00
2,3,oti,  1.730769230769230E-04,  2.618343195266272E+02,  0.000000000000000E+00,  0.000000000000000E+00
2,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
2,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
2,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
3,1,oti,  6.057692307692307E-04,  3.394970414201183E+02,  0.000000000000000E+00,  0.000000000000000E+00
3,2,oti,  2.596153846153846E-04,  3.927514792899407E+02,  0.000000000000000E+00,  0.000000000000000E+00
3,3,oti,  2.596153846153846E-04,  3.927514792899407E+02,  0.000000000000000E+00,  0.000000000000000E+00
3,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
3,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
3,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
4,1,oti,  8.076923076923076E-04,  4.526627218934910E+02,  0.000000000000000E+00,  0.000000000000000E+00
4,2,oti,  3.461538461538461E-04,  5.236686390532543E+02,  0.000000000000000E+00,  0.000000000000000E+00
4,3,oti,  3.461538461538461E-04,  5.236686390532543E+02,  0.000000000000000E+00,  0.000000000000000E+00
4,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
4,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
4,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
5,1,oti,  1.009615384615384E-03,  5.658284023668638E+02,  0.000000000000000E+00,  0.000000000000000E+00
5,2,oti,  4.326923076923076E-04,  6.545857988165678E+02,  0.000000000000000E+00,  0.000000000000000E+00
5,3,oti,  4.326923076923076E-04,  6.545857988165678E+02,  0.000000000000000E+00,  0.000000000000000E+00
5,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
5,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
5,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
6,1,oti,  1.211538461538461E-03,  6.789940828402365E+02,  0.000000000000000E+00,  0.000000000000000E+00
6,2,oti,  5.192307692307691E-04,  7.855029585798814E+02,  0.000000000000000E+00,  0.000000000000000E+00
6,3,oti,  5.192307692307691E-04,  7.855029585798814E+02,  0.000000000000000E+00,  0.000000000000000E+00
6,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
6,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
6,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
7,1,oti,  1.413461538461538E-03,  7.921597633136092E+02,  0.000000000000000E+00,  0.000000000000000E+00
7,2,oti,  6.057692307692307E-04,  9.164201183431949E+02,  0.000000000000000E+00,  0.000000000000000E+00
7,3,oti,  6.057692307692307E-04,  9.164201183431949E+02,  0.000000000000000E+00,  0.000000000000000E+00
7,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
7,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
7,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
8,1,oti,  1.615384615384615E-03,  9.053254437869820E+02,  0.000000000000000E+00,  0.000000000000000E+00
8,2,oti,  6.923076923076922E-04,  1.047337278106508E+03,  0.000000000000000E+00,  0.000000000000000E+00
8,3,oti,  6.923076923076922E-04,  1.047337278106508E+03,  0.000000000000000E+00,  0.000000000000000E+00
8,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
8,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
8,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
9,1,oti,  1.817307692307692E-03,  1.018491124260355E+03,  0.000000000000000E+00,  0.000000000000000E+00
9,2,oti,  7.788461538461536E-04,  1.178254437869822E+03,  0.000000000000000E+00,  0.000000000000000E+00
9,3,oti,  7.788461538461536E-04,  1.178254437869822E+03,  0.000000000000000E+00,  0.000000000000000E+00
9,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
9,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
9,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
10,1,oti,  2.019230769230769E-03,  1.131656804733728E+03,  0.000000000000000E+00,  0.000000000000000E+00
10,2,oti,  8.653846153846151E-04,  1.309171597633135E+03,  0.000000000000000E+00,  0.000000000000000E+00
10,3,oti,  8.653846153846151E-04,  1.309171597633135E+03,  0.000000000000000E+00,  0.000000000000000E+00
10,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
