increment,state_variable,method,E,NU,SIGY0,H
1,EQPLAS,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2,EQPLAS,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3,EQPLAS,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4,EQPLAS,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5,EQPLAS,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6,EQPLAS,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7,EQPLAS,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8,EQPLAS,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9,EQPLAS,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
10,EQPLAS,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
11,EQPLAS,centered_fd,5.3708354428e-09,-8.2628237582e-04,-4.2961004626e-06,-7.0986458424e-11
12,EQPLAS,centered_fd,5.3750946308e-09,-8.2693763544e-04,-4.2961004625e-06,-4.9690526826e-10
13,EQPLAS,centered_fd,5.3793538187e-09,-8.2759289513e-04,-4.2961004623e-06,-9.2282405269e-10
14,EQPLAS,centered_fd,5.3836130058e-09,-8.2824815458e-04,-4.2961004620e-06,-1.3487427185e-09
15,EQPLAS,centered_fd,5.3878721929e-09,-8.2890341433e-04,-4.2961004617e-06,-1.7746615944e-09
16,EQPLAS,centered_fd,5.3921313790e-09,-8.2955867387e-04,-4.2961004615e-06,-2.2005802942e-09
17,EQPLAS,centered_fd,5.3963905672e-09,-8.3021393379e-04,-4.2961004613e-06,-2.6264989532e-09
18,EQPLAS,centered_fd,5.4006497557e-09,-8.3086919311e-04,-4.2961004611e-06,-3.0524178020e-09
19,EQPLAS,centered_fd,5.4049089426e-09,-8.3152445270e-04,-4.2961004604e-06,-3.4783365695e-09
20,EQPLAS,centered_fd,5.4091681291e-09,-8.3217971224e-04,-4.2961004613e-06,-3.9042553099e-09
