increment,state_variable,method,E,NU,SIGY0,H
1,EQPLAS,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
2,EQPLAS,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
3,EQPLAS,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
4,EQPLAS,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
5,EQPLAS,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
6,EQPLAS,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
7,EQPLAS,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
8,EQPLAS,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
9,EQPLAS,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
10,EQPLAS,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
11,EQPLAS,oti,  5.370835442905270E-09, -8.262823758315778E-04, -4.296100462656974E-06, -7.098645840477315E-11
12,EQPLAS,oti,  5.375094630409555E-09, -8.269376354476220E-04, -4.296100462656974E-06, -4.969052088334231E-10
13,EQPLAS,oti,  5.379353817913840E-09, -8.275928950636658E-04, -4.296100462656973E-06, -9.228239592620726E-10
14,EQPLAS,oti,  5.383613005418127E-09, -8.282481546797102E-04, -4.296100462656974E-06, -1.348742709690722E-09
15,EQPLAS,oti,  5.387872192922413E-09, -8.289034142957543E-04, -4.296100462656973E-06, -1.774661460119371E-09
16,EQPLAS,oti,  5.392131380426702E-09, -8.295586739117982E-04, -4.296100462656973E-06, -2.200580210548018E-09
17,EQPLAS,oti,  5.396390567930987E-09, -8.302139335278415E-04, -4.296100462656974E-06, -2.626498960976668E-09
18,EQPLAS,oti,  5.400649755435276E-09, -8.308691931438847E-04, -4.296100462656975E-06, -3.052417711405315E-09
19,EQPLAS,oti,  5.404908942939564E-09, -8.315244527599275E-04, -4.296100462656974E-06, -3.478336461833962E-09
20,EQPLAS,oti,  5.409168130443849E-09, -8.321797123759694E-04, -4.296100462656973E-06, -3.904255212262612E-09
