order,member,oti_recovered,sympy_analytical
1,E1,2.4518749999999998e+00,2.4518750000000002e+00
1,E2,1.4922500000000001e+00,1.4922500000000001e+00
2,E11,1.7344999999999999e+01,1.7345000000000002e+01
2,E12,1.5725000000000000e+00,1.5724999999999996e+00
2,E22,-1.5560000000000000e+01,-1.5559999999999999e+01
3,E111,1.1250000000000000e+02,1.1250000000000000e+02
3,E112,-3.7200000000000003e+01,-3.7200000000000003e+01
3,E122,3.5299999999999997e+01,3.5299999999999997e+01
3,E222,-8.7000000000000000e+01,-8.6999999999999986e+01
4,E1111,5.5200000000000000e+02,5.5200000000000000e+02
4,E1112,-1.7400000000000000e+02,-1.7400000000000000e+02
4,E1122,1.2400000000000000e+02,1.2400000000000000e+02
4,E1222,-2.2200000000000000e+02,-2.2200000000000000e+02
4,E2222,9.8400000000000000e+02,9.8400000000000000e+02
