order,member,flat_index,recovery_factor,raw_coefficient
1,E1,1,1,  2.451875000000000E+00
1,E2,2,1,  1.492250000000000E+00
2,E11,3,2,  8.672500000000001E+00
2,E12,4,1,  1.572500000000000E+00
2,E22,5,2, -7.780000000000000E+00
3,E111,6,6,  1.875000000000000E+01
3,E112,7,2, -1.860000000000000E+01
3,E122,8,2,  1.765000000000000E+01
3,E222,9,6, -1.450000000000000E+01
4,E1111,10,24,  2.300000000000000E+01
4,E1112,11,6, -2.900000000000000E+01
4,E1122,12,4,  3.100000000000000E+01
4,E1222,13,6, -3.700000000000000E+01
4,E2222,14,24,  4.100000000000000E+01
