order,member,flat_index,bases_multiindex,raw_coefficient,recovery_factor,recovered_derivative
1,E1,1,1,  2.451875000000000E+00,1,  2.451875000000000E+00
1,E2,2,2,  1.492250000000000E+00,1,  1.492250000000000E+00
2,E11,3,1|1,  8.672500000000001E+00,2,  1.734500000000000E+01
2,E12,4,1|2,  1.572500000000000E+00,1,  1.572500000000000E+00
2,E22,5,2|2, -7.780000000000000E+00,2, -1.556000000000000E+01
3,E111,6,1|1|1,  1.875000000000000E+01,6,  1.125000000000000E+02
3,E112,7,1|1|2, -1.860000000000000E+01,2, -3.720000000000000E+01
3,E122,8,1|2|2,  1.765000000000000E+01,2,  3.530000000000000E+01
3,E222,9,2|2|2, -1.450000000000000E+01,6, -8.700000000000000E+01
4,E1111,10,1|1|1|1,  2.300000000000000E+01,24,  5.520000000000000E+02
4,E1112,11,1|1|1|2, -2.900000000000000E+01,6, -1.740000000000000E+02
4,E1122,12,1|1|2|2,  3.100000000000000E+01,4,  1.240000000000000E+02
4,E1222,13,1|2|2|2, -3.700000000000000E+01,6, -2.220000000000000E+02
4,E2222,14,2|2|2|2,  4.100000000000000E+01,24,  9.840000000000000E+02
