increment,yielded,method,stress_1,stress_2,stress_3,stress_4,stress_5,stress_6,EQPLAS
1,no ,oti,  4.038461538461539E+01,  1.730769230769231E+01,  1.730769230769231E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
2,no ,oti,  8.076923076923077E+01,  3.461538461538461E+01,  3.461538461538461E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
3,no ,oti,  1.211538461538462E+02,  5.192307692307692E+01,  5.192307692307692E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
4,no ,oti,  1.615384615384615E+02,  6.923076923076923E+01,  6.923076923076923E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
5,no ,oti,  2.019230769230769E+02,  8.653846153846153E+01,  8.653846153846153E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
6,no ,oti,  2.423076923076923E+02,  1.038461538461538E+02,  1.038461538461538E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
7,no ,oti,  2.826923076923077E+02,  1.211538461538461E+02,  1.211538461538461E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
8,no ,oti,  3.230769230769231E+02,  1.384615384615385E+02,  1.384615384615385E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
9,no ,oti,  3.634615384615385E+02,  1.557692307692308E+02,  1.557692307692308E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
10,no ,oti,  4.038461538461538E+02,  1.730769230769231E+02,  1.730769230769231E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
11,yes,oti,  4.416886979510905E+02,  1.916556510244547E+02,  1.916556510244547E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.652346331791104E-05
12,yes,oti,  4.668208856576338E+02,  2.165895571711831E+02,  2.165895571711831E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.156642432253799E-04
13,yes,oti,  4.919530733641772E+02,  2.415234633179114E+02,  2.415234633179114E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.148050231328486E-04
14,yes,oti,  5.170852610707204E+02,  2.664573694646398E+02,  2.664573694646398E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.139458030403174E-04
15,yes,oti,  5.422174487772637E+02,  2.913912756113681E+02,  2.913912756113681E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  4.130865829477860E-04
16,yes,oti,  5.673496364838070E+02,  3.163251817580965E+02,  3.163251817580965E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  5.122273628552542E-04
17,yes,oti,  5.924818241903503E+02,  3.412590879048249E+02,  3.412590879048249E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  6.113681427627228E-04
18,yes,oti,  6.176140118968935E+02,  3.661929940515532E+02,  3.661929940515532E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  7.105089226701910E-04
19,yes,oti,  6.427461996034369E+02,  3.911269001982815E+02,  3.911269001982815E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  8.096497025776592E-04
20,yes,oti,  6.678783873099802E+02,  4.160608063450099E+02,  4.160608063450099E+02,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  9.087904824851281E-04
