increment,array,row,parameter,oti,fd,abs_diff,rel_diff
1,DSIGMA_DP,1,E,2.0192307692e-04,2.0192307691e-04,1.308e-14,1.308e-14
1,DSIGMA_DP,1,NU,1.1316568047e+02,1.1316568048e+02,6.627e-09,5.856e-11
1,DSIGMA_DP,1,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,1,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,2,E,8.6538461538e-05,8.6538461543e-05,4.538e-15,4.538e-15
1,DSIGMA_DP,2,NU,1.3091715976e+02,1.3091715976e+02,3.314e-09,2.531e-11
1,DSIGMA_DP,2,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,2,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,3,E,8.6538461538e-05,8.6538461543e-05,4.538e-15,4.538e-15
1,DSIGMA_DP,3,NU,1.3091715976e+02,1.3091715976e+02,3.314e-09,2.531e-11
1,DSIGMA_DP,3,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,3,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,4,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,4,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,4,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,4,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,5,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,5,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,5,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,5,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,6,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,6,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
1,DSIGMA_DP,6,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
