case_name,slurm_job_id,hostname,execution_commit_sha,audit_commit_sha,generated_at,abaqus_command,compiler,status,stress_status,stress_max_abs_diff,stress_max_rel_diff,statev_status,ddsdde_status,ddsdde_max_abs_diff,ddsdde_max_rel_diff,convergence_status,stress_requested,stress_available,stress_compared,stress_passed,stress_failed,stress_not_requested,stress_unavailable_reason,statev_requested,statev_available,statev_compared,statev_passed,statev_failed,statev_not_requested,statev_unavailable_reason,ddsdde_requested,ddsdde_available,ddsdde_compared,ddsdde_passed,ddsdde_failed,ddsdde_not_requested,ddsdde_unavailable_reason,convergence_requested,convergence_available,convergence_compared,convergence_passed,convergence_failed,convergence_not_requested,convergence_unavailable_reason
UMAT_ECL_TEMP,791506,c015,13e98cafe38c30242a6139cec0bb6c27e477a40a,19246ccd41da9bfdd30c6daf5c43491b344cc762,,abaqus,GNU Fortran (GCC) 13.3.0,passed,passed,0.0,0.0,passed,passed,0.0,0.0,passed,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,
UMAT_ECO,791506,c015,13e98cafe38c30242a6139cec0bb6c27e477a40a,19246ccd41da9bfdd30c6daf5c43491b344cc762,,abaqus,GNU Fortran (GCC) 13.3.0,passed,passed,0.0,0.0,passed,passed,0.0,0.0,passed,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,
UMAT_HIN,791506,c015,13e98cafe38c30242a6139cec0bb6c27e477a40a,19246ccd41da9bfdd30c6daf5c43491b344cc762,,abaqus,GNU Fortran (GCC) 13.3.0,passed,passed,0.0,0.0,passed,passed,0.0,0.0,passed,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,
UMAT_NKH_1.02,791506,c015,13e98cafe38c30242a6139cec0bb6c27e477a40a,19246ccd41da9bfdd30c6daf5c43491b344cc762,,abaqus,GNU Fortran (GCC) 13.3.0,passed,passed,7.795635610818863e-06,7.795635610818863e-06,passed,passed,0.72344970703125,0.0021311044913665477,passed,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,
UMAT_PCL,791506,c015,13e98cafe38c30242a6139cec0bb6c27e477a40a,19246ccd41da9bfdd30c6daf5c43491b344cc762,,abaqus,GNU Fortran (GCC) 13.3.0,passed,passed,0.0,0.0,passed,passed,0.0,0.0,passed,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,
UMAT_PCLI,791506,c015,13e98cafe38c30242a6139cec0bb6c27e477a40a,19246ccd41da9bfdd30c6daf5c43491b344cc762,,abaqus,GNU Fortran (GCC) 13.3.0,passed,passed,0.0,0.0,passed,passed,0.0,0.0,passed,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,
UMAT_PCLI_R,791506,c015,13e98cafe38c30242a6139cec0bb6c27e477a40a,19246ccd41da9bfdd30c6daf5c43491b344cc762,,abaqus,GNU Fortran (GCC) 13.3.0,passed,passed,0.0,0.0,passed,passed,0.0,0.0,passed,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,
UMAT_PCLK,791506,c015,13e98cafe38c30242a6139cec0bb6c27e477a40a,19246ccd41da9bfdd30c6daf5c43491b344cc762,,abaqus,GNU Fortran (GCC) 13.3.0,passed,passed,0.0,0.0,passed,passed,0.0,0.0,passed,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,
UMAT_PCO,791506,c015,13e98cafe38c30242a6139cec0bb6c27e477a40a,19246ccd41da9bfdd30c6daf5c43491b344cc762,,abaqus,GNU Fortran (GCC) 13.3.0,passed,passed,0.0,0.0,passed,passed,0.0,0.0,passed,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,
UMAT_VPDCL,791506,c015,13e98cafe38c30242a6139cec0bb6c27e477a40a,19246ccd41da9bfdd30c6daf5c43491b344cc762,,abaqus,GNU Fortran (GCC) 13.3.0,passed,passed,1.6093254089355469e-06,1.6093254089355469e-06,passed,passed,0.2370147705078125,0.0011540414668875243,passed,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,,True,True,True,True,False,False,
