candidate,repository,commit_sha,license,constitutive_class,multi_file,closure_size,furthest_stage,primal_parity,substantive_rows,worst_substantive_relative_error,blocker
jgomezc1_UMAT_PCO,jgomezc1_ABAQUS-US,54181407aa7a,MIT,reduced Cosserat couple-stress plasticity,True,12,derivatives_verified,6.064072777217682e-16,121,2.4795998987632716e-08,
jgomezc1_UMAT_VPDCO,jgomezc1_ABAQUS-US,54181407aa7a,MIT,"viscoplastic damage, Cosserat, thermomechanical",True,14,derivatives_verified,1.8207975009476274e-15,237,9.882134011334415e-07,
jgomezc1_UMAT_PCL,jgomezc1_ABAQUS-US,54181407aa7a,MIT,"classical J2 plasticity, isotropic hardening",False,5,derivatives_verified,1.4739002297530164e-15,80,2.4795998987632716e-08,
jgomezc1_UMAT_PCLK,jgomezc1_ABAQUS-US,54181407aa7a,MIT,"plasticity, combined isotropic/kinematic hardening",False,5,derivatives_verified,4.505492983027024e-16,177,4.9564841925061615e-08,
jgomezc1_UMAT_ECO,jgomezc1_ABAQUS-US,54181407aa7a,MIT,Cosserat elasticity,True,4,derivatives_verified,3.598852817486222e-16,31,2.4797663721207738e-08,
jgomezc1_UMAT_VPDCL,jgomezc1_ABAQUS-US,54181407aa7a,MIT,"viscoplastic damage, classical theory",False,8,derivatives_verified,8.36248851926198e-16,159,4.156038108896968e-07,
jgomezc1_UMAT_NKH_1.02,jgomezc1_ABAQUS-US,54181407aa7a,MIT,"viscoplastic damage, combined hardening, thermomechanical",False,10,generated_compiled,,,,"original_executed: the original build, as compiled here, is not reproducible: two replays of the same material vector along the same path returned different output. Its response is not a function of P"
ngrilli_umat,ngrilli_Oxford_Crystal_Plasticity,85102ed35dc4,MIT,"crystal plasticity, finite strain, COMMON-block state",True,26,dependencies_resolved,,,,"contract_constructed: the declared dimensions are too small for what this source addresses: it needs NTENS >= 0 and, at NTENS=6, NSTATV >= 125, but the contract declares NTENS=6 and NSTATV=0. Running "
lucarini_neohookean,sergiolucarini_UMAT4COMSOL,e62506fd8426,MIT,"neo-Hookean hyperelasticity, finite strain",False,1,derivatives_verified,0.0,0,,
lucarini_elastoplastic,sergiolucarini_UMAT4COMSOL,e62506fd8426,MIT,"finite-strain J2 elastoplasticity, linear hardening",False,3,derivatives_verified,0.0,0,,
lucarini_crystalplasticity,sergiolucarini_UMAT4COMSOL,e62506fd8426,MIT,crystal plasticity (Huang/Kysar lineage),False,18,derivatives_verified,4.127110947956279e-16,857,7.106919071380207e-07,
