source_id,repository,cache_path,acquisition_url,url_provenance,commit,license_spdx,sha256,bytes,source_form,is_umat,entry_interface,entry_routine,entry_line,entry_evidence,classification_basis,refusal_class,refusal_class_confident,duplicate_of,companion_files,terminal_state,kind,reason,stage,attempted,transformed,compiled,ntens,ntens_provenance,element_type,formulation,kinematics,deck,material_provenance,props_count,nstatv,activated,activation_amplitude,time_dependent,response_character,worst_stress_relative,worst_state_relative,primal_increments,precision_control,tangent_states_checked,tangent_states_agreeing,worst_tangent_relative,tangent_plateau,missing_companions,compile_defect,key,seconds
3MAH__simcoon/testBin/Umats/UMABA/external/UMAT_ABAQUS_ELASTIC.f,3MAH/simcoon,3MAH__simcoon/testBin/Umats/UMABA/external/UMAT_ABAQUS_ELASTIC.f,https://github.com/3MAH/simcoon/blob/a6d6fa7860947e9f2ef777a2abe8f57e346ba312/testBin/Umats/UMABA/external/UMAT_ABAQUS_ELASTIC.f,"reconstructed from the commit the acquisition pinned (a6d6fa786094), whose owner/repo was recorded in an acquisition URL",a6d6fa7860947e9f2ef777a2abe8f57e346ba312,GPL-3.0,44261eebd2ba2a5ddf4ce556e26f2ab3cc0d71788a694d0d5cba6fa9febe40a5,13213,fixed,True,UMAT,UMAT,1,"SUBROUTINE UMAT(STRESS,STATEV,DDSDDE,SSE,SPD,SCD,","SUBROUTINE UMAT at line 1 takes 37 arguments and is called by nothing else in this file; the offline compile did not settle whether the published text builds, so the refusal stays this project's",,,,,missing_material_data,external,"no material constants are published for this source. Searched 36 .inp file(s) in 3MAH/simcoon, and every .md, .rst and .txt in it for an embedded *MATERIAL block naming this routine: none of the 36 decks publishes at least 2 constants under *User Material or *UEL PROPERTY, which is how far the PROPS references of UMAT in this source reach. Supplying constants from anywhere else would be inventing them",needs_material_data,True,True,True,,,,,small strain,,,0,,,,,,,,,,,,,,,,88158829e7a7fce671ec7eed,0.0
AlexSTA1993__numerical_geolab/numerical_geolab_materials/UMATERIALS/CAUCHY3D-DP/hyplast_Cauchy3D-DP.for,AlexSTA1993/numerical_geolab,AlexSTA1993__numerical_geolab/numerical_geolab_materials/UMATERIALS/CAUCHY3D-DP/hyplast_Cauchy3D-DP.for,https://github.com/AlexSTA1993/numerical_geolab/blob/21ad30f9314caccf5262912b9b1cdb088e204e30/numerical_geolab_materials/UMATERIALS/CAUCHY3D-DP/hyplast_Cauchy3D-DP.for,"reconstructed from the commit the acquisition pinned (21ad30f9314c), whose owner/repo was recorded in an acquisition URL",21ad30f9314caccf5262912b9b1cdb088e204e30,GPL-3.0,73ad1e2d94ab608fd478cb993360da41a9cf2f440703faf1d0314d1c58141954,7650,fixed,True,UMAT,UMAT,6,"SUBROUTINE UMAT ( STRESS, STATEV, DDSDDE, SSE, SPD, SCD,","SUBROUTINE UMAT at line 6 takes 37 arguments and is called by nothing else in this file; the offline compile did not settle whether the published text builds, so the refusal stays this project's",,,,,missing_material_data,external,"no material constants are published for this source: its repository (AlexSTA1993/numerical_geolab) contains no .inp file at all, and no document in it carries a *MATERIAL or *USER MATERIAL block naming this routine. Searched: every .inp in the repository, and every .md, .rst and .txt in it for an embedded material block",needs_material_data,True,True,True,,,,,small strain,,,0,,,,,,,,,,,,,,,,70948bc933cf1f52c0107738,0.0
AlexanderJFDR__Hyperelastic_phase_field/umat/NeoHookean_umat.for,AlexanderJFDR/Hyperelastic_phase_field,AlexanderJFDR__Hyperelastic_phase_field/umat/NeoHookean_umat.for,https://github.com/AlexanderJFDR/Hyperelastic_phase_field/blob/afb36a139062a9e83eb45ffd4376e7ee69e1d408/umat/NeoHookean_umat.for,"reconstructed from the commit the acquisition pinned (afb36a139062), whose owner/repo was recorded in an acquisition URL",afb36a139062a9e83eb45ffd4376e7ee69e1d408,MIT,565d307f0679dcb9377d0ccf04e601082c115590707af15bb6d193a25ef836a9,3863,fixed,True,UMAT,umat,15,"subroutine umat(stress,statev,ddsdde,sse,spd,scd,","SUBROUTINE umat at line 15 takes 37 arguments and is called by nothing else in this file; the offline compile did not settle whether the published text builds, so the refusal stays this project's",,,,,fully_verified,verified,"agreed at all 2 states where a difference could be taken (increments 4, 2); 2 smooth state(s) inside the activated regime (2 loading, 0 unloading), which is the whole of this material: it is activated from its first increment and never stops, so there is no elastic branch to verify on and every state that can be measured is inside the activated one; worst of them: agreed to 8.433e-10 over a plateau of 3 step sizes, 0.0001 to 0.01",verified,True,True,True,6,,C3D8,three-dimensional continuum,finite,AlexanderJFDR__Hyperelastic_phase_field/umat/twist_umat.inp,"twist_umat.inp *MATERIAL user_mat: 2 constants, no *DEPVAR: nstatv 1 INFERRED by the transform from the subscripts the source uses (paired deck AlexanderJFDR__Hyperelastic_phase_field/umat/twist_umat.inp)",2,1,True,0.010000000000000002,True,irreversible,0.0,0.0,280,,2,2,8.432916579511807e-10,0.0001..0.01,,,b02211fef691bb6a2b174039,147.0
AnargyrosKarakalas__UMAT_3D/UMAT_3D_Coupled_ML_IP_Original.for,AnargyrosKarakalas/UMAT_3D,AnargyrosKarakalas__UMAT_3D/UMAT_3D_Coupled_ML_IP_Original.for,https://github.com/AnargyrosKarakalas/UMAT_3D/blob/2a583612b2d2604bb70a35279911e8b271296213/UMAT_3D_Coupled_ML_IP_Original.for,"reconstructed from the commit the acquisition pinned (2a583612b2d2), whose owner/repo was recorded in an acquisition URL",2a583612b2d2604bb70a35279911e8b271296213,AGPL-3.0,69e8ce853f2d00de6df6b5859c9678ff7b57559aa43a1597d0b4621b8879ce1a,199831,fixed,True,UMAT,UMAT,13,"SUBROUTINE UMAT(STRESS,STATEV,DDSDDE,SSE,SPD,SCD,RPL,DDSDDT,DRPLDE,DRPLDT,",SUBROUTINE UMAT at line 13 takes 37 arguments and is called by nothing else in this file; ifort -syntax-only accepted the published text as fixed form,genuine_umat,True,,,transform_refused,internal,"DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(i,:) = dSigma_dEpsilon_FWD(i,:); DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(i,:) = dSigma_dEpsilon_REV(i,:); DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(",,True,False,False,6,,,,small strain,,,,,,,,,,,,,,,,,,,,
BAMresearch__fenics-constitutive/examples/umat/src/umat_linear_elastic.f,BAMresearch/fenics-constitutive,BAMresearch__fenics-constitutive/examples/umat/src/umat_linear_elastic.f,https://github.com/BAMresearch/fenics-constitutive/blob/723ed234ffb024aef9f389a7c09f2b701bd55f0a/examples/umat/src/umat_linear_elastic.f,"reconstructed from the commit the acquisition pinned (723ed234ffb0), whose owner/repo was recorded in an acquisition URL",723ed234ffb024aef9f389a7c09f2b701bd55f0a,MIT,e67e743883a59976559edcddebd2bccf3cb64e969cad69ee4abc808a712a247c,1300,fixed,True,UMAT,UMAT,1,"SUBROUTINE UMAT(STRESS,STATEV,DDSDDE,SSE,SPD,SCD,","SUBROUTINE UMAT at line 1 takes 37 arguments and is called by nothing else in this file; the offline compile did not settle whether the published text builds, so the refusal stays this project's",,,,,missing_material_data,external,"no material constants are published for this source: its repository (BAMresearch/fenics-constitutive) contains no .inp file at all, and no document in it carries a *MATERIAL or *USER MATERIAL block naming this routine. Searched: every .inp in the repository, and every .md, .rst and .txt in it for an embedded material block",needs_material_data,True,True,True,,,,,small strain,,,0,,,,,,,,,,,,,,,,22a6cc22e6d2548c7fc92f86,0.0
BBahtiri__ABAQUS-Multiphysics-Diffusion-UEL/Diffusion_3D.for,BBahtiri/ABAQUS-Multiphysics-Diffusion-UEL,BBahtiri__ABAQUS-Multiphysics-Diffusion-UEL/Diffusion_3D.for,https://github.com/BBahtiri/ABAQUS-Multiphysics-Diffusion-UEL/blob/a05a79e89a74c935549be3becb6828a3fd5975c3/Diffusion_3D.for,"reconstructed from the commit the acquisition pinned (a05a79e89a74), whose owner/repo was recorded in an acquisition URL",a05a79e89a74c935549be3becb6828a3fd5975c3,MIT,12b6a149ba5f023e3dc28cf99352f8dea570d178d8bf13e44cfae31d1e8c94b4,17018,fixed,True,UMAT,umat,518,"subroutine umat(stress,statev,ddsdde,sse,spd,scd,rpl,ddsddt,",this file presents a UMAT but USEs or INCLUDEs what was never published beside it: module rVar; ifort -syntax-only accepted the published text as fixed form,missing_external_dependency,True,,,external_dependency_unavailable,external,Semantic check failed: stress_path_consumes_the_seed.,,True,False,False,3,,,,small strain,,,,,,,,,,,,,,,,,module rVar,,,
Batmanabcdefg__ParaFEM-lite/src/programs/dev/xx15/francesc/umat_DP_primal_CPPM_def.f90,Batmanabcdefg/ParaFEM-lite,Batmanabcdefg__ParaFEM-lite/src/programs/dev/xx15/francesc/umat_DP_primal_CPPM_def.f90,https://github.com/Batmanabcdefg/ParaFEM-lite/blob/bf353d506407cec184d3edfee48ef08caabc3e9a/src/programs/dev/xx15/francesc/umat_DP_primal_CPPM_def.f90,"reconstructed from the commit the acquisition pinned (bf353d506407), whose owner/repo was recorded in an acquisition URL",bf353d506407cec184d3edfee48ef08caabc3e9a,BSD-3-Clause,a60c03a30dff37329550c7b288c61bfe310d0d999e27dad55a4735b1f2d9813f,12333,free,False,,,7,"SUBROUTINE UMAT(stress,statev,ddsdde,stran,dstran,ntens,statevar_num,iel,   &",a unit shares an Abaqus name but not its interface: UMAT takes 10 arguments where the interface takes 37; ifort -syntax-only accepted the published text as free form,helper_or_module_only,True,,Batmanabcdefg__ParaFEM-lite/src/modules/shared/precision.f90,not_a_umat,external,transformed file injects no derivative direction: neither DSTRAN_OTI nor DFGRD1_OTI is seeded; Semantic check failed: dstran_initialization_before_seed.; Semantic check failed: dstran_initialization_before_stress_use.; Semantic check failed: stress_path_consumes_the_seed.; Semantic check failed: dst,,True,False,False,6,,,,small strain,,,,,,,,,,,,,,,,,,,,
Batmanabcdefg__ParaFEM-lite/src/programs/dev/xx15/plasticity_xx15.F90,Batmanabcdefg/ParaFEM-lite,Batmanabcdefg__ParaFEM-lite/src/programs/dev/xx15/plasticity_xx15.F90,https://github.com/Batmanabcdefg/ParaFEM-lite/blob/bf353d506407cec184d3edfee48ef08caabc3e9a/src/programs/dev/xx15/plasticity_xx15.F90,"reconstructed from the commit the acquisition pinned (bf353d506407), whose owner/repo was recorded in an acquisition URL",bf353d506407cec184d3edfee48ef08caabc3e9a,BSD-3-Clause,2c162231170c2f83e2d988ee1df1a76a880aa6d824126c37631bfc5d4b509fd7,42120,free,False,,,30,"SUBROUTINE umat(stress,statev,ddsdde,stran,dstran,ntens,                 &",a unit shares an Abaqus name but not its interface: UMAT takes 10 arguments where the interface takes 37; ifort -syntax-only accepted the published text as free form,helper_or_module_only,True,,Batmanabcdefg__ParaFEM-lite/src/modules/shared/precision.f90; Batmanabcdefg__ParaFEM-lite/src/modules/mpi/mpi_wrapper.f90; Batmanabcdefg__ParaFEM-lite/src/modules/shared/global_variables.f90; Batmanabcdefg__ParaFEM-lite/src/modules/mpi/mp_interface.f90; Batmanabcdefg__ParaFEM-lite/src/modules/mpi/maths.f90; Batmanabcdefg__ParaFEM-lite/src/modules/shared/geometry.f90; Batmanabcdefg__ParaFEM-lite/src/modules/shared/new_library.f90,not_a_umat,external,anchors not located: selected_routine_is_not_an_abaqus_umat,,True,False,False,6,,,,small strain,,,,,,,,,,,,,,,,,include mpif.h,,,
BristolCompositesInstitute__abaci/example/src/umat.f,BristolCompositesInstitute/abaci,BristolCompositesInstitute__abaci/example/src/umat.f,https://github.com/BristolCompositesInstitute/abaci/blob/ddd99abcf5db1ad8981659cfef68b28f2d360e42/example/src/umat.f,"reconstructed from the commit the acquisition pinned (ddd99abcf5db), whose owner/repo was recorded in an acquisition URL",ddd99abcf5db1ad8981659cfef68b28f2d360e42,MIT,d05dd8613ac55d4cafcf0cca0444e0525c0bdadd0ae3ace469a1a48c514b2fd5,1451,free,True,UMAT,umat,6,"subroutine umat(stress,statev,ddsdde,sse,spd,scd, &",SUBROUTINE umat at line 6 takes 37 arguments and is called by nothing else in this file; ifort -syntax-only accepted the published text as free form,genuine_umat,True,,,transform_refused,internal,"UMAT_ELASTIC appears as UMAT_ELASTIC(...) on the stress path but is not declared anywhere in this source, which USEs ABAQUS_DEFINITIONS, ELASTIC_MOD without defining it. The transformer cannot read that module, so it cannot tell whether UMAT_ELASTIC is an array to promote or a call into it.",,True,False,False,4,,,,small strain,,,,,,,,,,,,,,,,,,,,
BristolCompositesInstitute__abaci/test/data/umat.f,BristolCompositesInstitute/abaci,BristolCompositesInstitute__abaci/test/data/umat.f,https://github.com/BristolCompositesInstitute/abaci/blob/ddd99abcf5db1ad8981659cfef68b28f2d360e42/test/data/umat.f,"reconstructed from the commit the acquisition pinned (ddd99abcf5db), whose owner/repo was recorded in an acquisition URL",ddd99abcf5db1ad8981659cfef68b28f2d360e42,MIT,fde9e0e60814d4bcc1dd6e08bedefa6dad90ce367160e293c8648d3ab915f2d4,13629,fixed,True,UMAT,UMAT,1,"SUBROUTINE UMAT(STRESS,STATEV,DDSDDE,SSE,SPD,SCD,","SUBROUTINE UMAT at line 1 takes 37 arguments and is called by nothing else in this file; the offline compile did not settle whether the published text builds, so the refusal stays this project's",,,,,fully_verified,verified,"agreed at all 4 states where a difference could be taken (increments 1, 4, 2, 5); 4 smooth states on a material that never activates, which is the whole of it; worst of them: agreed to 1.123e-14 over a plateau of 2 step sizes, 0.01 to 0.1",verified,True,True,True,6,,C3D8,three-dimensional continuum,small strain,BristolCompositesInstitute__abaci/example/jobs/test-job.inp,"test-job.inp *MATERIAL umat_elastic: 2 constants, *DEPVAR 1 (paired deck BristolCompositesInstitute__abaci/example/jobs/test-job.inp)",2,1,True,0.010000000000000002,True,irreversible,0.0,0.0,280,,4,4,1.1232259566895664e-14,0.01..0.1,,,95e3e8b88f858805e76e1c11,152.3
