name,source,repository,kinematics,nstatv,ntens,props_count,material_provenance,nstatv_provenance,loading_probe,furthest_stage,primal_parity,rows_total,rows_agreeing,rows_disagreeing,rows_unresolved,structural_zeros,worst_relative_error,driven_through,reference_perturbation,blocker
NeoHookean_umat,AlexanderJFDR__Hyperelastic_phase_field/umat/NeoHookean_umat.for,umat,finite,7,6,2,"AlexanderJFDR__Hyperelastic_phase_field/umat/twist_umat.inp, *Material name=user_mat at line 45228",promoted-variable count (no *DEPVAR in the paired deck),"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",tangent_verified,1.9575016630680114e-11,288,288,0,0,192,6.939332009113374e-09,DSTRAN and DFGRD1,"the same injection the transform seeded, read back from the emitted seed lines: the strain directions mapped into DFGRD1 on the diagonal and at half size into both members of each off-diagonal pair",
umat,BristolCompositesInstitute__abaci/test/data/umat.f,data,small strain,1,6,2,"BristolCompositesInstitute__abaci/example/jobs/test-job.inp, *Material name=umat_elastic at line 70",*DEPVAR in BristolCompositesInstitute__abaci/example/jobs/test-job.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",tangent_verified,0.0,288,288,0,0,192,8.503017549325402e-13,DSTRAN,"the same injection the transform seeded, read back from the emitted seed lines",
ISOTROPIC-ELASTICITY,CAEAssistant-Group__UMAT-Abaqus-Isotropic-Elasticity-Isothermal-Suboutine/ISOTROPIC-ELASTICITY.for,CAEAssistant-Group__UMAT-Abaqus-Isotropic-Elasticity-Isothermal-Suboutine,small strain,1,6,2,"CAEAssistant-Group__UMAT-Abaqus-Isotropic-Elasticity-Isothermal-Suboutine/UMATmodel.inp, *Material name=Steel at line 3742",promoted-variable count (no *DEPVAR in the paired deck),"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",tangent_verified,0.0,288,288,0,0,192,3.280061088045173e-13,DSTRAN,"the same injection the transform seeded, read back from the emitted seed lines",
PLANESTRESS-ORTHOTROPIC,CAEAssistant-Group__UMAT-Abaqus-Tsai-Hill-Orthotropic-Composite-Subroutine/PLANESTRESS-ORTHOTROPIC.for,CAEAssistant-Group__UMAT-Abaqus-Tsai-Hill-Orthotropic-Composite-Subroutine,small strain,1,6,9,"CAEAssistant-Group__UMAT-Abaqus-Tsai-Hill-Orthotropic-Composite-Subroutine/UMATModel.inp, *Material name=COMPOSITE at line 1347",*DEPVAR in CAEAssistant-Group__UMAT-Abaqus-Tsai-Hill-Orthotropic-Composite-Subroutine/UMATModel.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",tangent_verified,0.0,288,288,0,0,248,4.652765972739781e-13,DSTRAN,"the same injection the transform seeded, read back from the emitted seed lines",
From-2D-to-2D-Axe,Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.for,2Dto2D,finite,9,6,2,"Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp, *Material name=NeoHookean at line 14864",*DEPVAR in Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",reference_nontrivial,3.506170068654842e-15,288,285,3,0,128,0.000566630351264424,DSTRAN and DFGRD1,"the same injection the transform seeded, read back from the emitted seed lines: the strain directions mapped into DFGRD1 on the diagonal and at half size into both members of each off-diagonal pair",3 of 288 entries disagree with the independent reference
From-2D-to-2D-Disk,Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Disk.for,2Dto2D,finite,9,6,2,"Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp, *Material name=NeoHookean at line 14864",*DEPVAR in Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",reference_nontrivial,6.399954903073553e-16,288,287,1,0,128,1.0548038828824953e-05,DSTRAN and DFGRD1,"the same injection the transform seeded, read back from the emitted seed lines: the strain directions mapped into DFGRD1 on the diagonal and at half size into both members of each off-diagonal pair",1 of 288 entries disagree with the independent reference
From-2D-to-2D-Scallop,Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Scallop.for,2Dto2D,finite,9,6,2,"Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp, *Material name=NeoHookean at line 14864",*DEPVAR in Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",original_executed,1.5985048839854768e-07,0,0,0,0,0,,,,"the transformed and original builds disagree on stress (worst relative difference 1.599e-07), so a tangent comparison would not be between comparable quantities"
From-2D-to-3D-DupinCyclide,Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto3D/From-2D-to-3D-DupinCyclide.for,2Dto3D,finite,9,6,2,"Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp, *Material name=NeoHookean at line 14864",*DEPVAR in Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",original_executed,1.0000000050052953,0,0,0,0,0,,,,"the transformed and original builds disagree on stress (worst relative difference 1.000e+00), so a tangent comparison would not be between comparable quantities"
From-2D-to-3D-Genhel,Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto3D/From-2D-to-3D-Genhel.for,2Dto3D,finite,9,6,2,"Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp, *Material name=NeoHookean at line 14864",*DEPVAR in Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",tangent_verified,8.27781825915525e-16,288,288,0,0,128,1.7220128267749497e-07,DSTRAN and DFGRD1,"the same injection the transform seeded, read back from the emitted seed lines: the strain directions mapped into DFGRD1 on the diagonal and at half size into both members of each off-diagonal pair",
From-2D-to-3D-Saddle,Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto3D/From-2D-to-3D-Saddle.for,2Dto3D,finite,9,6,2,"Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp, *Material name=NeoHookean at line 14864",*DEPVAR in Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.inp,"declared probe, chosen by the verification harness; not read from a deck and not this source's own loading history",reference_nontrivial,4.1631210326766973e-14,288,283,5,0,128,8.990739762389262e-05,DSTRAN and DFGRD1,"the same injection the transform seeded, read back from the emitted seed lines: the strain directions mapped into DFGRD1 on the diagonal and at half size into both members of each off-diagonal pair",5 of 288 entries disagree with the independent reference
