source,repository,bytes,lines,form,kinematics,ntens,nstatv_hint,anchor_status,helper_routines,declared_unsupported,stage,blocker_kind,blocker,original_compiles,compiled,compile_error,seconds
3MAH__simcoon/testBin/Umats/UMABA/external/UMAT_ABAQUS_ELASTIC.f,external,13213,308,fixed,small strain,6,2,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.8
AlexSTA1993__numerical_geolab/numerical_geolab_materials/UMATERIALS/CAUCHY3D-DP/hyplast_Cauchy3D-DP.for,CAUCHY3D-DP,7650,275,fixed,small strain,6,1,ready_with_json_contract,5,io_write,transformed,none,,yes,yes,,1.32
AlexanderJFDR__Hyperelastic_phase_field/umat/NeoHookean_umat.for,umat,3863,106,fixed,finite,6,7,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.32
AnargyrosKarakalas__UMAT_3D/UMAT_3D_Coupled_ML_IP_Original.for,AnargyrosKarakalas__UMAT_3D,199831,4589,fixed,small strain,6,138,ready_with_json_contract,23,io_write,blocked,missing_ddsdde_extraction_point,"DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(i,:) = dSigma_dEpsilon_FWD(i,:); DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(i,:) = dSigma_dEpsilon_REV(i,:); DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(",,,,1.06
BAMresearch__fenics-constitutive/examples/umat/src/umat_linear_elastic.f,src,1300,45,fixed,small strain,6,1,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.29
BBahtiri__ABAQUS-Multiphysics-Diffusion-UEL/Diffusion_3D.for,BBahtiri__ABAQUS-Multiphysics-Diffusion-UEL,17018,538,fixed,small strain,6,24,ready_with_json_contract,6,data;io_write;save,semantic_checks_failed,semantic_check,Semantic check failed: stress_path_consumes_the_seed.,,,,0.28
Batmanabcdefg__ParaFEM-lite/src/programs/dev/xx15/francesc/umat_DP_primal_CPPM_def.f90,francesc,12333,424,free,small strain,6,41,ready_with_json_contract,2,io_write;module_use,semantic_checks_failed,other,transformed file injects no derivative direction: neither DSTRAN_OTI nor DFGRD1_OTI is seeded; Semantic check failed: dstran_initialization_before_seed.; Semantic check failed: dstran_initialization_before_stress_use.; Semantic check failed: stress_path_consumes_the_seed.; Semantic check failed: dst,,,,0.26
Batmanabcdefg__ParaFEM-lite/src/programs/dev/xx15/plasticity_xx15.F90,xx15,42120,1178,free,,,,,16,io_write;module_use,not_a_umat,not_a_umat,the scanner finds no UMAT subroutine in this file,,,,0.09
BristolCompositesInstitute__abaci/example/src/umat.f,src,1451,44,free,small strain,6,2,ready_with_json_contract,1,io_write;module_use,blocked,module_names_unresolved,"UMAT_ELASTIC appears as UMAT_ELASTIC(...) on the stress path but is not declared anywhere in this source, which USEs ABAQUS_DEFINITIONS, ELASTIC_MOD without defining it. The transformer cannot read that module, so it cannot tell whether UMAT_ELASTIC is an array to promote or a call into it.",,,,0.05
BristolCompositesInstitute__abaci/test/data/umat.f,data,13629,365,fixed,small strain,6,1,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.39
BristolCompositesInstitute__abaqus-modern-fortran/src/umat.f,src,1447,44,free,small strain,6,2,ready_with_json_contract,1,io_write;module_use,blocked,module_names_unresolved,"UMAT_ELASTIC appears as UMAT_ELASTIC(...) on the stress path but is not declared anywhere in this source, which USEs ABAQUS_DEFINITIONS, ELASTIC_MOD without defining it. The transformer cannot read that module, so it cannot tell whether UMAT_ELASTIC is an array to promote or a call into it.",,,,0.08
