increment,row,column,value
1,1,1,  2.6923076923076925E+05
1,1,2,  1.1538461538461538E+05
1,1,3,  1.1538461538461538E+05
1,1,4,  0.0000000000000000E+00
1,1,5,  0.0000000000000000E+00
1,1,6,  0.0000000000000000E+00
1,2,1,  1.1538461538461538E+05
1,2,2,  2.6923076923076925E+05
1,2,3,  1.1538461538461538E+05
1,2,4,  0.0000000000000000E+00
1,2,5,  0.0000000000000000E+00
1,2,6,  0.0000000000000000E+00
1,3,1,  1.1538461538461538E+05
1,3,2,  1.1538461538461538E+05
1,3,3,  2.6923076923076925E+05
1,3,4,  0.0000000000000000E+00
1,3,5,  0.0000000000000000E+00
1,3,6,  0.0000000000000000E+00
1,4,1,  0.0000000000000000E+00
1,4,2,  0.0000000000000000E+00
1,4,3,  0.0000000000000000E+00
1,4,4,  7.6923076923076922E+04
1,4,5,  0.0000000000000000E+00
1,4,6,  0.0000000000000000E+00
1,5,1,  0.0000000000000000E+00
1,5,2,  0.0000000000000000E+00
1,5,3,  0.0000000000000000E+00
1,5,4,  0.0000000000000000E+00
1,5,5,  7.6923076923076922E+04
1,5,6,  0.0000000000000000E+00
1,6,1,  0.0000000000000000E+00
1,6,2,  0.0000000000000000E+00
1,6,3,  0.0000000000000000E+00
1,6,4,  0.0000000000000000E+00
1,6,5,  0.0000000000000000E+00
1,6,6,  7.6923076923076922E+04
2,1,1,  1.6754791804362193E+05
2,1,2,  1.6622604097818900E+05
2,1,3,  1.6622604097818903E+05
2,1,4,  0.0000000000000000E+00
2,1,5,  0.0000000000000000E+00
2,1,6,  0.0000000000000000E+00
2,2,1,  1.6622604097818903E+05
2,2,2,  2.2656028703616280E+05
2,2,3,  1.0721367198564818E+05
2,2,4,  0.0000000000000000E+00
2,2,5,  0.0000000000000000E+00
2,2,6,  0.0000000000000000E+00
2,3,1,  1.6622604097818903E+05
2,3,2,  1.0721367198564819E+05
2,3,3,  2.2656028703616280E+05
2,3,4,  0.0000000000000000E+00
2,3,5,  0.0000000000000000E+00
2,3,6,  0.0000000000000000E+00
2,4,1,  0.0000000000000000E+00
2,4,2,  0.0000000000000000E+00
2,4,3,  0.0000000000000000E+00
2,4,4,  5.9673307525257289E+04
2,4,5,  0.0000000000000000E+00
2,4,6,  0.0000000000000000E+00
2,5,1,  0.0000000000000000E+00
2,5,2,  0.0000000000000000E+00
2,5,3,  0.0000000000000000E+00
2,5,4,  0.0000000000000000E+00
2,5,5,  5.9673307525257289E+04
2,5,6,  0.0000000000000000E+00
2,6,1,  0.0000000000000000E+00
2,6,2,  0.0000000000000000E+00
2,6,3,  0.0000000000000000E+00
2,6,4,  0.0000000000000000E+00
2,6,5,  0.0000000000000000E+00
2,6,6,  5.9673307525257289E+04
3,1,1,  1.6833791142174543E+05
3,1,2,  1.6895796652545780E+05
3,1,3,  1.6270412205279677E+05
3,1,4, -6.2538444726610678E+03
3,1,5,  0.0000000000000000E+00
3,1,6,  0.0000000000000000E+00
3,2,1,  1.6895796652545780E+05
3,2,2,  2.2697682328085322E+05
3,2,3,  1.0406521019368897E+05
3,2,4,  3.3639202497675774E+03
3,2,5,  0.0000000000000000E+00
3,2,6,  0.0000000000000000E+00
3,3,1,  1.6270412205279677E+05
3,3,2,  1.0406521019368897E+05
3,3,3,  2.3323066775351428E+05
3,3,4,  2.8899242228934886E+03
3,3,5,  0.0000000000000000E+00
3,3,6,  0.0000000000000000E+00
3,4,1, -6.2538444726610669E+03
3,4,2,  3.3639202497675774E+03
3,4,3,  2.8899242228934895E+03
3,4,4,  6.2663770641591807E+04
3,4,5,  0.0000000000000000E+00
3,4,6,  0.0000000000000000E+00
3,5,1,  0.0000000000000000E+00
3,5,2,  0.0000000000000000E+00
3,5,3,  0.0000000000000000E+00
3,5,4,  0.0000000000000000E+00
3,5,5,  6.3137766668465898E+04
3,5,6,  0.0000000000000000E+00
3,6,1,  0.0000000000000000E+00
3,6,2,  0.0000000000000000E+00
3,6,3,  0.0000000000000000E+00
3,6,4,  0.0000000000000000E+00
3,6,5,  0.0000000000000000E+00
3,6,6,  6.3137766668465898E+04
