increment,branch,stress_component,order,directions,recovery_factor,oti_derivative,fd_reference,absolute_error,relative_error,absolute_tolerance,relative_tolerance,passed
1,elastic,1,2,1|1,2,0.0,-1.9582906007962765e-70,1.9582906007962765e-70,1.0,1e-05,1e-07,True
1,elastic,2,2,1|1,2,0.0,-9.97539648527005e-71,9.97539648527005e-71,1.0,1e-05,1e-07,True
1,elastic,3,2,1|1,2,0.0,-9.97539648527005e-71,9.97539648527005e-71,1.0,1e-05,1e-07,True
1,elastic,4,2,1|1,2,0.0,0.0,0.0,0.0,1e-05,1e-07,True
1,elastic,5,2,1|1,2,0.0,0.0,0.0,0.0,1e-05,1e-07,True
1,elastic,6,2,1|1,2,0.0,0.0,0.0,0.0,1e-05,1e-07,True
1,elastic,1,2,1|2,1,0.0,-5.015776153841348e-71,5.015776153841348e-71,1.0,1e-05,1e-07,True
1,elastic,2,2,1|2,1,0.0,-1.2491354198088605e-71,1.2491354198088605e-71,1.0,1e-05,1e-07,True
1,elastic,3,2,1|2,1,0.0,-1.3624419512516996e-71,1.3624419512516996e-71,1.0,1e-05,1e-07,True
1,elastic,4,2,1|2,1,0.0,0.0,0.0,0.0,1e-05,1e-07,True
1,elastic,5,2,1|2,1,0.0,0.0,0.0,0.0,1e-05,1e-07,True
1,elastic,6,2,1|2,1,0.0,0.0,0.0,0.0,1e-05,1e-07,True
1,elastic,1,3,1|1|1,6,0.0,1.038577722192478e-65,1.038577722192478e-65,1.0,0.02,1e-07,True
1,elastic,2,3,1|1|1,6,0.0,8.902094761649811e-67,8.902094761649811e-67,1.0,0.02,1e-07,True
1,elastic,3,3,1|1|1,6,0.0,8.902094761649811e-67,8.902094761649811e-67,1.0,0.02,1e-07,True
1,elastic,4,3,1|1|1,6,0.0,0.0,0.0,0.0,0.02,1e-07,True
1,elastic,5,3,1|1|1,6,0.0,0.0,0.0,0.0,0.02,1e-07,True
1,elastic,6,3,1|1|1,6,0.0,0.0,0.0,0.0,0.02,1e-07,True
1,elastic,1,3,1|1|2,2,0.0,-3.2520030253556183e-66,3.2520030253556183e-66,1.0,0.02,1e-07,True
1,elastic,2,3,1|1|2,2,0.0,-1.4937161526943086e-66,1.4937161526943086e-66,1.0,0.02,1e-07,True
1,elastic,3,3,1|1|2,2,0.0,6.141235546813439e-66,6.141235546813439e-66,1.0,0.02,1e-07,True
1,elastic,4,3,1|1|2,2,0.0,0.0,0.0,0.0,0.02,1e-07,True
1,elastic,5,3,1|1|2,2,0.0,0.0,0.0,0.0,0.02,1e-07,True
