canonical_source_id,identity_kind,labels,origins,validation_events,verified_by,constitutive_models,closure_size
019a2d21f8fecc0da884dc11d0b427ca,single_file,code_exp,UMATs archive (in-repository copy);archived paired Abaqus campaign,TABLE-2 paired Abaqus,TABLE-2 paired Abaqus,,1
0274d7910de61f0bc749aa6861c4e0fe,single_file,j2_props;j2,UMATs archive (in-repository copy);higher-order convergence study,TABLE-4 higher order,,,1
091c09013e39650379c85f0f9d2d9516,single_file,m2_cubic,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,anisotropic elasticity (cubic),1
0ede6ade0029316290ec1b458a3f7cb6,single_file,sweep_j2_combined,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,"J2 plasticity, combined isotropic/kinematic hardening",1
100938ef530d1fa7688f9fd57c5fe3a2,single_file,spin_elastic,UMATs archive (in-repository copy);archived paired Abaqus campaign,TABLE-2 paired Abaqus,TABLE-2 paired Abaqus,,1
108518e08678d2939acf0eac4859de80,single_file,lucarini_crystalplasticity,external corpus: https://github.com/sergiolucarini/UMAT4COMSOL.git@e62506fd8426;internal-Jacobian round (external corpus (pinned snapshot)),CORPUS offline round;TABLE-3 internal Jacobian,,crystal plasticity (Huang/Kysar lineage),1
1aa21df0267c34b3dcd4f541f480de25,single_file,elastic,UMATs archive (in-repository copy);archived paired Abaqus campaign,TABLE-2 paired Abaqus,TABLE-2 paired Abaqus,,1
1ce179da0c49ddf450f8efb19a198b41,dependency_closure,UMAT_ECO;jgomezc1_UMAT_ECO,UMATs archive (in-repository copy);external corpus: https://github.com/jgomezc1/ABAQUS-US.git@54181407aa7a;internal-Jacobian round (external corpus (pinned snapshot));archived paired Abaqus campaign,CORPUS offline round;TABLE-2 paired Abaqus;TABLE-3 internal Jacobian,CORPUS offline round;TABLE-2 paired Abaqus,Cosserat elasticity,4
1f31504c6afc8c3372afce0879e01ec8,single_file,m6_fcc,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,,"crystal plasticity, FCC slip systems",1
271c0c7a32eb17eaf6abf2524f4fbe62,single_file,sweep_drucker_prager,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian,,pressure-dependent plasticity,1
2e7527f28aea68024080d02fec0e2c6d,single_file,UMAT_ECL_TEMP,UMATs archive (in-repository copy);archived paired Abaqus campaign,TABLE-2 paired Abaqus,TABLE-2 paired Abaqus,,1
3b49f7a8e1283beb882aeac1f015506a,single_file,m1_elastic;m2_elastic3d,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,isotropic elasticity,1
3c37009efba9d24a2cb45f32e8af3d78,single_file,sweep_damage_elastic,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,elasticity with scalar damage,1
3e75c0c0a08f04676d546ec724284954,single_file,sweep_real_PCO,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,"J2 plasticity, isotropic hardening",1
419dad1b5328f82526e6bf3bcb5734a8,single_file,UMAT_VPDCL;jgomezc1_UMAT_VPDCL,UMATs archive (in-repository copy);external corpus: https://github.com/jgomezc1/ABAQUS-US.git@54181407aa7a;internal-Jacobian round (repository_umat_archive);internal-Jacobian round (external corpus (pinned snapshot));archived paired Abaqus campaign,CORPUS offline round;TABLE-2 paired Abaqus;TABLE-3 internal Jacobian,TABLE-3 internal Jacobian;TABLE-2 paired Abaqus,"viscoplastic damage, classical theory",1
4497f62852c0db7d48f73f40b1c03ef2,single_file,lucarini_elastoplastic,external corpus: https://github.com/sergiolucarini/UMAT4COMSOL.git@e62506fd8426;internal-Jacobian round (external corpus (pinned snapshot)),CORPUS offline round;TABLE-3 internal Jacobian,CORPUS offline round,"finite-strain J2 elastoplasticity, linear hardening",1
580f20805d5b7b89e08a19084b90a379,single_file,sweep_thermoelastic,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,thermoelasticity,1
597eaeddf4ffd757e848ed8588fdea75,single_file,UMAT_PCLI,UMATs archive (in-repository copy);internal-Jacobian round (repository_umat_archive);archived paired Abaqus campaign,TABLE-2 paired Abaqus;TABLE-3 internal Jacobian,TABLE-2 paired Abaqus,,1
5a550f33156c3dbcc686d3086b2997f8,single_file,m5_cpflow,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity;TABLE-3 internal Jacobian,viscoplastic flow (crystal-plasticity flow rule),1
5d1da093ccd09b1b8a3c6c8e2a3a4292,single_file,sweep_aniso_ortho,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,anisotropic elasticity (orthotropic),1
610d0b66cf3a1bf4cd7cb6cc7cfdb327,single_file,sweep_perzyna_linear,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian,,viscoplasticity (Perzyna),1
616699c08d50aab2e657aa92159fee4d,single_file,visco_beam;visco_imp,UMATs archive (in-repository copy);higher-order convergence study;archived paired Abaqus campaign,TABLE-2 paired Abaqus;TABLE-4 higher order,TABLE-2 paired Abaqus,,1
63d29dc059c518af8e0abf8b4554b1b4,single_file,UMAT_PCLK;jgomezc1_UMAT_PCLK,UMATs archive (in-repository copy);external corpus: https://github.com/jgomezc1/ABAQUS-US.git@54181407aa7a;internal-Jacobian round (repository_umat_archive);internal-Jacobian round (external corpus (pinned snapshot));higher-order convergence study;archived paired Abaqus campaign,CORPUS offline round;TABLE-2 paired Abaqus;TABLE-3 internal Jacobian;TABLE-4 higher order,CORPUS offline round;TABLE-3 internal Jacobian;TABLE-2 paired Abaqus,"plasticity, combined isotropic/kinematic hardening",1
6a54167f4f04ecf17fad16c9df9b2f5b,single_file,sweep_eco,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,isotropic elasticity,1
700abc565157ebbf8f8f602eba31cfa5,single_file,perzyna_vp_props,UMATs archive (in-repository copy),,,,1
71d6e827ce64823a571212c35ba42752,single_file,UMAT_NKH_1.02;jgomezc1_UMAT_NKH_1.02,UMATs archive (in-repository copy);external corpus: https://github.com/jgomezc1/ABAQUS-US.git@54181407aa7a;internal-Jacobian round (repository_umat_archive);internal-Jacobian round (external corpus (pinned snapshot));archived paired Abaqus campaign,CORPUS offline round;TABLE-2 paired Abaqus;TABLE-3 internal Jacobian,TABLE-2 paired Abaqus,"viscoplastic damage, combined hardening, thermomechanical",1
7b8ba70f5c395df8d9f85726de298183,single_file,spin_elas_def,UMATs archive (in-repository copy);archived paired Abaqus campaign,TABLE-2 paired Abaqus,TABLE-2 paired Abaqus,,1
855af2b7c3dacb9d067e01c6304138c5,single_file,sweep_mooney_small,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,"hyperelasticity (Mooney-Rivlin, small strain)",1
8603a12db0823e1114a32931d95f9fcf,dependency_closure,UMAT_VPDCO;jgomezc1_UMAT_VPDCO,UMATs archive (in-repository copy);external corpus: https://github.com/jgomezc1/ABAQUS-US.git@54181407aa7a;internal-Jacobian round (repository_umat_archive);internal-Jacobian round (external corpus (pinned snapshot));archived paired Abaqus campaign,CORPUS offline round;TABLE-2 paired Abaqus;TABLE-3 internal Jacobian,CORPUS offline round;TABLE-3 internal Jacobian;TABLE-2 paired Abaqus,"viscoplastic damage, Cosserat, thermomechanical",14
a676f0c974bb289877a569eac3c812f2,dependency_closure,UMAT_PCO;jgomezc1_UMAT_PCO,UMATs archive (in-repository copy);external corpus: https://github.com/jgomezc1/ABAQUS-US.git@54181407aa7a;internal-Jacobian round (repository_umat_archive);internal-Jacobian round (external corpus (pinned snapshot));archived paired Abaqus campaign,CORPUS offline round;TABLE-2 paired Abaqus;TABLE-3 internal Jacobian,CORPUS offline round;TABLE-3 internal Jacobian;TABLE-2 paired Abaqus,reduced Cosserat couple-stress plasticity,12
ad85f2b455cec37e75bfa0f39194418f,single_file,sweep_j2_kinematic,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,"J2 plasticity, kinematic hardening",1
adbf5968a37861c3ff2ec07fd8f47006,dependency_closure,ngrilli_umat,external corpus: https://github.com/ngrilli/Oxford_Crystal_Plasticity.git@85102ed35dc4;internal-Jacobian round (external corpus (pinned snapshot)),CORPUS offline round;TABLE-3 internal Jacobian,,"crystal plasticity, finite strain, COMMON-block state",25
b48f625e738a6ae568dbd65799c0a228,single_file,UMAT_HIN,UMATs archive (in-repository copy);archived paired Abaqus campaign,TABLE-2 paired Abaqus,TABLE-2 paired Abaqus,,1
be15267d2ec831a907d34e0c86e41782,single_file,elastic_props,UMATs archive (in-repository copy),,,,1
be8b5c72058158fa0ab78674394f95de,single_file,UMAT_VPDCL_R,UMATs archive (in-repository copy);archived paired Abaqus campaign,TABLE-2 paired Abaqus,,,1
d2d3202099e586c7c1d438205111859e,single_file,sweep_transiso,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,anisotropic elasticity (transversely isotropic),1
da51e7fdcbfd680871de159674f93622,single_file,m3_j2,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,"J2 plasticity, isotropic hardening",1
dc956b716edc088fbac7c0f525bbf832,single_file,sweep_maxwell_ve,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,linear viscoelasticity,1
e1fc2b536d647ecd7cb64d10a2c895fe,single_file,UMAT_PCL;jgomezc1_UMAT_PCL,UMATs archive (in-repository copy);external corpus: https://github.com/jgomezc1/ABAQUS-US.git@54181407aa7a;internal-Jacobian round (repository_umat_archive);internal-Jacobian round (external corpus (pinned snapshot));archived paired Abaqus campaign,CORPUS offline round;TABLE-2 paired Abaqus;TABLE-3 internal Jacobian,CORPUS offline round;TABLE-3 internal Jacobian;TABLE-2 paired Abaqus,"classical J2 plasticity, isotropic hardening",1
e81602f2cdc49b11407956d6b3342b8e,single_file,sweep_real_ECL_TEMP,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,thermoelasticity,1
ed92657c6b8d26fa96a1fb0ef26a8b1e,single_file,sweep_j2_bilinear,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,"J2 plasticity, bilinear isotropic hardening",1
f0951dbacc1e257f19b746056ab2a8d2,single_file,UMAT_PCLI_R,UMATs archive (in-repository copy);archived paired Abaqus campaign,TABLE-2 paired Abaqus,TABLE-2 paired Abaqus,,1
f16ab8d2cd6fd6ec2377b26f8ed9238b,single_file,code_imp,UMATs archive (in-repository copy);higher-order convergence study;archived paired Abaqus campaign,TABLE-2 paired Abaqus;TABLE-4 higher order,TABLE-2 paired Abaqus,,1
f6e93b7b4a0ad488fc1f30892808196e,single_file,sweep_lame_elastic,parameter_sensitivity benchmark set;internal-Jacobian round (repository),TABLE-3 internal Jacobian;TABLE-6 parameter sensitivity,TABLE-6 parameter sensitivity,isotropic elasticity,1
fb23d6963fe5971aaba22f4fa6e82a9a,single_file,lucarini_neohookean,external corpus: https://github.com/sergiolucarini/UMAT4COMSOL.git@e62506fd8426;internal-Jacobian round (external corpus (pinned snapshot)),CORPUS offline round;TABLE-3 internal Jacobian,CORPUS offline round,"neo-Hookean hyperelasticity, finite strain",1
