increment,branch,stress_component,order,directions,direction_pattern,step_factor,step,fd_value,fd_value_normalized,invariant_across_stencil,oti_derivative,reference_classification,nominal_branch,node_branches,branch_consistent,min_branch_margin,min_branch_margin_unavailable_reason,admissible,rejection_reason
1,elastic,1,2,1|1,repeated,16.0,0.00064,-7385727.48843937,-0.030773864535164043,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,1,2,1|1,repeated,8.0,0.00032,8888856.730335709,0.03703690304306546,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,1,2,1|1,repeated,4.0,0.00016,640108.6634831177,0.002667119431179657,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,1,2,1|1,repeated,2.0,8e-05,-3.725290298461914e-09,-1.5522042910257976e-17,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,2,1|1,repeated,1.0,4e-05,-3.102421760559082e-05,-1.2926757335662843e-13,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,2,1|1,repeated,0.5,2e-05,1.5139579772949219e-05,6.308158238728841e-14,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,2,1|1,repeated,0.25,1e-05,0.0,0.0,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,2,1|1,repeated,0.125,5e-06,-1.9073486328125e-06,-7.947285970052083e-15,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,1,2,1|1,repeated,0.0625,2.5e-06,-7.62939453125e-06,-3.1789143880208334e-14,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,2,1|1,repeated,16.0,0.00064,5932148.065005944,0.024717283604191433,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,2,2,1|1,repeated,8.0,0.00032,-6042084.084216738,-0.025175350350903073,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,2,2,1|1,repeated,4.0,0.00016,-419564.94186508877,-0.001748187257771203,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,2,2,1|1,repeated,2.0,8e-05,3.507593646645546e-07,1.4614973527689776e-15,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,2,1|1,repeated,1.0,4e-05,1.4381948858499527e-05,5.99247869104147e-14,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,2,1|1,repeated,0.5,2e-05,-7.210299372673035e-06,-3.004291405280431e-14,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,2,1|1,repeated,0.25,1e-05,3.1962990760803223e-06,1.3317912817001341e-14,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,2,1|1,repeated,0.125,5e-06,0.0009071826934814453,3.779927889506022e-12,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,2,2,1|1,repeated,0.0625,2.5e-06,-0.00039905309677124023,-1.6627212365468342e-12,False,0.0,expected_zero_independently_supported,elastic,elastic,True,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",True,
1,elastic,3,2,1|1,repeated,16.0,0.00064,1453579.423433904,0.006056580930974599,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,3,2,1|1,repeated,8.0,0.00032,-2846772.6461191326,-0.011861552692163052,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
1,elastic,3,2,1|1,repeated,4.0,0.00016,-220543.72161864513,-0.0009189321734110212,False,0.0,expected_zero_independently_supported,elastic,elastic|inelastic,False,,"UMAT_PCLK does not store a signed yield-function value in STATEV, so no distance to the branch surface is available",False,"stencil left the nominal 'elastic' branch (nodes reached 'inelastic'), so the difference spans a non-smooth branch boundary"
