increment,branch,stress_component,order,directions,direction_pattern,step_factor,step,fd_value,fd_value_normalized,invariant_across_stencil,oti_derivative,reference_classification
1,elastic,1,2,1|1,repeated,16.0,0.00064,-7624520.466168407,-0.0317688352757017,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,8.0,0.00032,9173535.773184882,0.03822306572160368,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,4.0,0.00016,660577.3367394387,0.002752405569747661,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,2.0,8e-05,-1.0699033737182617e-05,-4.4579307238260905e-14,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,1.0,4e-05,-1.4185905456542969e-05,-5.910793940226236e-14,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,0.5,2e-05,-0.00019407272338867188,-8.086363474527994e-13,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,0.25,1e-05,-0.00022745132446289062,-9.47713851928711e-13,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,0.125,5e-06,-0.0031070709228515625,-1.2946128845214843e-11,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,0.0625,2.5e-06,-0.003509521484375,-1.462300618489583e-11,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|1,repeated,16.0,0.00064,6123471.91857171,0.025514466327382124,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|1,repeated,8.0,0.00032,-6235566.6427436145,-0.025981527678098394,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|1,repeated,4.0,0.00016,-432981.02885560703,-0.0018040876202316959,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|1,repeated,2.0,8e-05,3.502782419673167e-08,1.4594926748638196e-16,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|1,repeated,1.0,4e-05,1.438365870853886e-07,5.993191128557857e-16,False,0.0,expected_zero_independently_supported
