increment,branch,stress_component,order,directions,direction_pattern,recovery_factor,oti_derivative,oti_normalized,reference_value,reference_normalized,reference_classification,plateau_points,plateau_step_low,plateau_step_high,plateau_absolute_uncertainty,plateau_relative_uncertainty,steps_swept,steps_admissible,steps_rejected_for_branch_crossing,branch_consistent_over_admissible_steps,zero_support_strength,source_proof_kind,structurally_invariant,affine_in_directions,affine_residual_over_rounding_floor,high_precision_value,absolute_error,relative_error,agreement_tolerance,agrees_with_reference,supports_verification,reference_justification
1,elastic,1,2,1|1,repeated,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,1e-05,4e-05,3.059121588816149e-70,3.115273775216138,9,9,0,True,strong,,False,True,0.09004329004329005,5.764082929304155e-184,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 2.306e-192"
1,elastic,2,2,1|1,repeated,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,2e-05,8e-05,3.0741996482198593e-71,1.2003625690607735,9,9,0,True,strong,,False,True,0.052525252525252523,1.7271564279792952e-184,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 6.909e-193"
1,elastic,3,2,1|1,repeated,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,2e-05,8e-05,3.0741996482198593e-71,1.2003625690607735,9,9,0,True,strong,,False,True,0.052525252525252523,1.7271564279792952e-184,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 6.909e-193"
1,elastic,4,2,1|1,repeated,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,9,1.25e-06,0.00032,0.0,0.0,9,9,0,True,strong,,True,True,0.0,0.0,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 0.000e+00"
1,elastic,5,2,1|1,repeated,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,9,1.25e-06,0.00032,0.0,0.0,9,9,0,True,strong,,True,True,0.0,0.0,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 0.000e+00"
1,elastic,6,2,1|1,repeated,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,9,1.25e-06,0.00032,0.0,0.0,9,9,0,True,strong,,True,True,0.0,0.0,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 0.000e+00"
1,elastic,1,3,1|1|1,repeated,6,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,1.25e-06,5e-06,5.882252263609091e-62,13.762253066458332,9,9,0,True,strong,,False,True,0.09004329004329005,-4.485214547287396e-176,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 1.794e-187"
1,elastic,2,3,1|1|1,repeated,6,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,2e-05,8e-05,3.439711662963954e-67,3.083834193797962,9,9,0,True,strong,,False,True,0.052525252525252523,-1.2436013719673403e-176,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 4.974e-188"
1,elastic,3,3,1|1|1,repeated,6,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,2e-05,8e-05,3.439711662963954e-67,3.083834193797962,9,9,0,True,strong,,False,True,0.052525252525252523,-1.2436013719673403e-176,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 4.974e-188"
1,elastic,4,3,1|1|1,repeated,6,0.0,0.0,0.0,0.0,expected_zero_independently_supported,9,1.25e-06,0.00032,0.0,0.0,9,9,0,True,strong,,True,True,0.0,0.0,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 0.000e+00"
1,elastic,5,3,1|1|1,repeated,6,0.0,0.0,0.0,0.0,expected_zero_independently_supported,9,1.25e-06,0.00032,0.0,0.0,9,9,0,True,strong,,True,True,0.0,0.0,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 0.000e+00"
1,elastic,6,3,1|1|1,repeated,6,0.0,0.0,0.0,0.0,expected_zero_independently_supported,9,1.25e-06,0.00032,0.0,0.0,9,9,0,True,strong,,True,True,0.0,0.0,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 0.000e+00"
1,elastic,1,4,1|1|1|1,repeated,24,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,8e-05,0.00032,3.113952747625104e-63,1.6315298507462686,9,9,0,True,strong,,False,True,0.09004329004329005,1.8382535963717371e-168,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 7.353e-183"
1,elastic,2,4,1|1|1|1,repeated,24,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,5e-06,2e-05,7.310584432281093e-59,12.78656462585034,9,9,0,True,strong,,False,True,0.052525252525252523,-1.2917457704233828e-168,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 5.167e-183"
1,elastic,3,4,1|1|1|1,repeated,24,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,5e-06,2e-05,7.310584432281093e-59,12.78656462585034,9,9,0,True,strong,,False,True,0.052525252525252523,-1.2917457704233828e-168,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 5.167e-183"
1,elastic,4,4,1|1|1|1,repeated,24,0.0,0.0,0.0,0.0,expected_zero_independently_supported,9,1.25e-06,0.00032,0.0,0.0,9,9,0,True,strong,,True,True,0.0,0.0,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 0.000e+00"
1,elastic,5,4,1|1|1|1,repeated,24,0.0,0.0,0.0,0.0,expected_zero_independently_supported,9,1.25e-06,0.00032,0.0,0.0,9,9,0,True,strong,,True,True,0.0,0.0,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 0.000e+00"
1,elastic,6,4,1|1|1|1,repeated,24,0.0,0.0,0.0,0.0,expected_zero_independently_supported,9,1.25e-06,0.00032,0.0,0.0,9,9,0,True,strong,,True,True,0.0,0.0,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 0.000e+00"
1,elastic,1,3,1|1|2,mixed,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,2.5e-06,1e-05,5.193325312030287e-63,3.884629907400985,9,8,1,True,strong,,False,True,0.08156862745098038,1.3321193542335957e-176,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 5.328e-188"
1,elastic,2,3,1|1|2,mixed,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,1.25e-06,5e-06,1.7327799949589928e-63,5.2479182464122225,9,8,1,True,strong,,False,True,0.03969465648854962,-5.762781125423899e-177,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 2.305e-188"
1,elastic,3,3,1|1|2,mixed,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,1.25e-06,5e-06,1.7465052168434583e-63,1.8482189293950249,9,8,1,True,strong,,False,True,0.04227642276422764,-5.31236710263617e-177,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 2.125e-188"
1,elastic,4,3,1|1|2,mixed,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,8,1.25e-06,0.00016,0.0,0.0,9,8,1,True,strong,,True,True,0.0,0.0,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: high_precision -- recomputed at 200 decimal digits with step 2.000e-08, where cancellation cannot manufacture a zero, giving normalized magnitude 0.000e+00"
