model,branch,order,rows,resolved,expected_zero_independently_supported,empirically_zero_over_stencil,cancellation_limited,reference_unresolved,rows_admitted,rows_withheld,max_relative_error_on_resolved_rows,reference_precision,reference_method,defensible
controlled_j2_actual_umat,elastic,2,96,0,96,0,0,0,96,0,,"mpmath, 80 decimal digits",independent tensor-product finite differences of validation.j2_reference.integrate_increment evaluated in mpmath at 80 decimal digits,True
controlled_j2_actual_umat,elastic,3,96,0,96,0,0,0,96,0,,"mpmath, 80 decimal digits",independent tensor-product finite differences of validation.j2_reference.integrate_increment evaluated in mpmath at 80 decimal digits,True
controlled_j2_actual_umat,elastic,4,96,0,96,0,0,0,96,0,,"mpmath, 80 decimal digits",independent tensor-product finite differences of validation.j2_reference.integrate_increment evaluated in mpmath at 80 decimal digits,True
controlled_j2_actual_umat,plastic,2,84,20,64,0,0,0,84,0,5.118644132302072e-14,"mpmath, 80 decimal digits",independent tensor-product finite differences of validation.j2_reference.integrate_increment evaluated in mpmath at 80 decimal digits,True
controlled_j2_actual_umat,plastic,3,84,20,64,0,0,0,84,0,2.95639158022812e-11,"mpmath, 80 decimal digits",independent tensor-product finite differences of validation.j2_reference.integrate_increment evaluated in mpmath at 80 decimal digits,True
controlled_j2_actual_umat,plastic,4,84,26,58,0,0,0,84,0,2.5631583145620677e-11,"mpmath, 80 decimal digits",independent tensor-product finite differences of validation.j2_reference.integrate_increment evaluated in mpmath at 80 decimal digits,True
code_imp,elastic,2,8,0,8,0,0,0,8,0,,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original code_imp UMAT replayed for each tensor-product centred finite-difference stencil node,True
code_imp,elastic,3,8,0,8,0,0,0,8,0,,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original code_imp UMAT replayed for each tensor-product centred finite-difference stencil node,True
code_imp,elastic,4,8,0,8,0,0,0,8,0,,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original code_imp UMAT replayed for each tensor-product centred finite-difference stencil node,True
code_imp,inelastic,2,24,18,6,0,0,0,23,1,2.2963556724100676e-06,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original code_imp UMAT replayed for each tensor-product centred finite-difference stencil node,False
code_imp,inelastic,3,24,18,6,0,0,0,24,0,3.48767429665641e-06,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original code_imp UMAT replayed for each tensor-product centred finite-difference stencil node,True
code_imp,inelastic,4,24,18,6,0,0,0,24,0,9.635403610829512e-06,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original code_imp UMAT replayed for each tensor-product centred finite-difference stencil node,True
UMAT_PCLK,elastic,2,8,0,8,0,0,0,8,0,,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original UMAT_PCLK UMAT replayed for each tensor-product centred finite-difference stencil node,True
UMAT_PCLK,elastic,3,8,0,8,0,0,0,8,0,,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original UMAT_PCLK UMAT replayed for each tensor-product centred finite-difference stencil node,True
UMAT_PCLK,elastic,4,8,0,8,0,0,0,8,0,,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original UMAT_PCLK UMAT replayed for each tensor-product centred finite-difference stencil node,True
UMAT_PCLK,inelastic,2,24,24,0,0,0,0,16,8,0.2011705077487302,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original UMAT_PCLK UMAT replayed for each tensor-product centred finite-difference stencil node,False
UMAT_PCLK,inelastic,3,24,24,0,0,0,0,16,8,0.24092317237314845,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original UMAT_PCLK UMAT replayed for each tensor-product centred finite-difference stencil node,False
UMAT_PCLK,inelastic,4,24,24,0,0,0,0,16,8,0.34356799446358743,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original UMAT_PCLK UMAT replayed for each tensor-product centred finite-difference stencil node,False
visco_imp,elastic,2,8,0,8,0,0,0,8,0,,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original visco_imp UMAT replayed for each tensor-product centred finite-difference stencil node,True
visco_imp,elastic,3,8,0,8,0,0,0,8,0,,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original visco_imp UMAT replayed for each tensor-product centred finite-difference stencil node,True
visco_imp,elastic,4,8,0,8,0,0,0,8,0,,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original visco_imp UMAT replayed for each tensor-product centred finite-difference stencil node,True
visco_imp,inelastic,2,24,22,0,0,0,2,22,2,4.3546227105288237e-07,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original visco_imp UMAT replayed for each tensor-product centred finite-difference stencil node,False
visco_imp,inelastic,3,24,24,0,0,0,0,24,0,1.0065811319258478e-05,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original visco_imp UMAT replayed for each tensor-product centred finite-difference stencil node,True
visco_imp,inelastic,4,24,20,0,0,4,0,20,4,8.67363263347962e-05,"IEEE double precision (compiled Fortran, gfortran)",independently compiled original visco_imp UMAT replayed for each tensor-product centred finite-difference stencil node,False
