increment,branch,stress_component,order,directions,direction_pattern,step_factor,step,fd_value,fd_value_normalized,invariant_across_stencil,oti_derivative,reference_classification
1,elastic,1,2,1|1,repeated,16.0,0.0064,-0.0882092024908161,-8.820920249081611e-07,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,8.0,0.0032,0.12857992597992052,1.2857992597992052e-06,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,4.0,0.0016,0.009687804076293105,9.687804076293105e-08,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,2.0,0.0008,1.7644197214394808e-10,1.7644197214394809e-15,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,1.0,0.0004,-1.69893610291183e-08,-1.6989361029118301e-13,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,0.5,0.0002,-9.077484719455242e-08,-9.077484719455243e-13,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,0.25,0.0001,-1.0617077350616455e-07,-1.0617077350616455e-12,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,0.125,5e-05,3.8743019104003906e-07,3.874301910400391e-12,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|1,repeated,0.0625,2.5e-05,1.1064112186431885e-06,1.1064112186431885e-11,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|1,repeated,16.0,0.0064,0.07301526178564277,7.301526178564278e-07,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|1,repeated,8.0,0.0032,-0.08582528902621434,-8.582528902621434e-07,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|1,repeated,4.0,0.0016,-0.006209080777111353,-6.209080777111353e-08,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|1,repeated,2.0,0.0008,2.219735506514553e-10,2.219735506514553e-15,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|1,repeated,1.0,0.0004,-4.4890384742757306e-09,-4.489038474275731e-14,False,0.0,expected_zero_independently_supported
