model,increment,array,component,parameter,props_index,oti_direction,oti,reference,absolute_error,relative_error,judged_by,agrees,branch
m1_elastic,1,DSIGMA_DP,1,E,1,1,0.0001346153846153846,0.00013461538461534417,4.0440741033709315e-17,3.0041693339335946e-13,within_reference_resolution,True,elastic
m1_elastic,1,DSIGMA_DP,1,nu,2,2,79.21597633136095,79.21597829572136,1.964360407669119e-06,2.479752759394021e-08,relative,True,elastic
m1_elastic,1,DSIGMA_DP,2,E,1,1,5.769230769230769e-05,5.769230769229036e-05,1.7333682232612002e-17,3.004504920320316e-13,within_reference_resolution,True,elastic
m1_elastic,1,DSIGMA_DP,2,nu,2,2,91.64201183431952,91.6420138051895,1.9708699880993663e-06,2.1506183749835493e-08,relative,True,elastic
m1_elastic,1,DSIGMA_DP,3,E,1,1,5.769230769230769e-05,5.769230769229036e-05,1.7333682232612002e-17,3.004504920320316e-13,within_reference_resolution,True,elastic
m1_elastic,1,DSIGMA_DP,3,nu,2,2,91.64201183431952,91.6420138051895,1.9708699880993663e-06,2.1506183749835493e-08,relative,True,elastic
m1_elastic,1,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,1,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,1,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,1,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,1,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,1,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,2,DSIGMA_DP,1,E,1,1,0.0002692307692307692,0.00026923076923068834,8.088148206741863e-17,3.0041693339335946e-13,within_reference_resolution,True,elastic
