model,parameter_directions_declared,parameters,contract_generated,transformed,compiled,executed_oti,executed_original,primal_parity,reference_resolved,numerically_verified,parameter_directions_verified,comparison_rows,worst_relative_error,elastic_increments,inelastic_increments,furthest_stage,failure_reason
m1_elastic,2,E|nu,True,True,True,True,True,True,True,True,2,240,2.479752759394021e-08,20,0,derivatives_verified,
m2_cubic,3,C11|C12|C44,True,True,True,True,True,True,True,True,3,360,3.102986617643885e-12,20,0,derivatives_verified,
m3_j2,4,E|nu|SIGY0|H,True,True,True,True,True,True,True,True,4,560,2.4796033119496132e-08,15,5,derivatives_verified,
m5_cpflow,6,tau0|dG|q|p|gam0|H,True,True,True,True,True,True,True,True,6,840,5.926850983909061e-07,0,20,derivatives_verified,
m6_fcc,10,g0|h0|q|gd0|m|gsat|C11|C12|C44|a,True,True,True,True,True,True,True,False,6,3600,8.194703070708744e-07,2,18,derivatives_unresolved,
sweep_aniso_ortho,9,C11|C12|C13|C22|C23|C33|C44|C55|C66,True,True,True,True,True,True,True,True,9,1080,2.1806919695877556e-12,20,0,derivatives_verified,
sweep_damage_elastic,3,E|nu|d,True,True,True,True,True,True,True,True,3,360,2.479453814596933e-08,20,0,derivatives_verified,
sweep_drucker_prager,4,E|nu|k|beta,True,True,True,True,True,True,True,False,0,560,1.1828840306909155e-08,10,10,derivatives_unresolved,
sweep_eco,2,E|nu,True,True,True,True,True,True,True,True,2,240,2.4796033119496132e-08,20,0,derivatives_verified,
sweep_j2_bilinear,4,E|nu|SIGY0|Et,True,True,True,True,True,True,True,True,4,560,2.4796331934347723e-08,16,4,derivatives_verified,
sweep_j2_combined,5,E|nu|SIGY0|HISO|HKIN,True,True,True,True,True,True,True,True,5,1300,2.4796331934347723e-08,16,4,derivatives_verified,
sweep_j2_kinematic,4,E|nu|SIGY0|Hk,True,True,True,True,True,True,True,True,4,960,2.4796331934347723e-08,16,4,derivatives_verified,
sweep_lame_elastic,2,lambda|mu,True,True,True,True,True,True,True,True,2,240,7.594474817594469e-12,20,0,derivatives_verified,
sweep_maxwell_ve,3,E|nu|tau,True,True,True,True,True,True,True,True,3,720,2.359016382555131e-08,0,20,derivatives_verified,
sweep_mooney_small,2,mu|kappa,True,True,True,True,True,True,True,True,2,240,3.886539527693682e-12,20,0,derivatives_verified,
sweep_perzyna_linear,4,E|nu|SIGY0|eta,True,True,True,True,True,True,True,True,4,560,2.4796331934347723e-08,16,4,derivatives_verified,
sweep_real_ECL_TEMP,5,E1|E2|G1|G2|CTE,True,True,True,True,True,True,True,True,5,600,3.0421588204035196e-07,20,0,derivatives_verified,
sweep_real_PCO,4,E|nu|SIGY0|H,True,True,True,True,True,True,True,True,4,560,2.4796033119496132e-08,15,5,derivatives_verified,
sweep_thermoelastic,3,E|nu|alpha,True,True,True,True,True,True,True,True,3,360,2.4796033119496132e-08,20,0,derivatives_verified,
sweep_transiso,5,EP|ET|XNUP|XNUPT|GT,True,True,True,True,True,True,True,True,5,600,1.0473935012172379e-08,20,0,derivatives_verified,
