Source,Repository,Commit,Licence,Multi-file,Furthest stage,Worst rel error,Blocker
jgomezc1_UMAT_ECO,jgomezc1_ABAQUS-US,54181407aa7a,MIT,yes,derivatives_verified,2.480e-08,none
jgomezc1_UMAT_PCL,jgomezc1_ABAQUS-US,54181407aa7a,MIT,no,derivatives_verified,2.480e-08,none
jgomezc1_UMAT_PCLK,jgomezc1_ABAQUS-US,54181407aa7a,MIT,no,derivatives_verified,4.956e-08,none
jgomezc1_UMAT_PCO,jgomezc1_ABAQUS-US,54181407aa7a,MIT,yes,derivatives_verified,2.480e-08,none
jgomezc1_UMAT_VPDCL,jgomezc1_ABAQUS-US,54181407aa7a,MIT,no,derivatives_verified,4.156e-07,none
jgomezc1_UMAT_VPDCO,jgomezc1_ABAQUS-US,54181407aa7a,MIT,yes,derivatives_verified,9.882e-07,none
lucarini_crystalplasticity,sergiolucarini_UMAT4COMSOL,e62506fd8426,MIT,no,derivatives_verified,7.107e-07,none
lucarini_elastoplastic,sergiolucarini_UMAT4COMSOL,e62506fd8426,MIT,no,derivatives_verified,not measured,none
lucarini_neohookean,sergiolucarini_UMAT4COMSOL,e62506fd8426,MIT,no,derivatives_verified,not measured,none
jgomezc1_UMAT_NKH_1.02,jgomezc1_ABAQUS-US,54181407aa7a,MIT,no,generated_compiled,not measured,"original_executed: the original build, as compiled here, is not reproducible: two replays "
ngrilli_umat,ngrilli_Oxford_Crystal_Plasticity,85102ed35dc4,MIT,yes,dependencies_resolved,not measured,contract_constructed: the declared dimensions are too small for what this source addresses
