model,increment,array,component,parameter,props_index,oti_direction,oti,reference,absolute_error,relative_error,judged_by,agrees,branch,branch_crossing
m3_j2,1,DSIGMA_DP,1,E,1,1,0.0001346153846153846,0.00013461538461542876,4.415413347447217e-17,3.280021343816857e-13,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,1,nu,2,2,79.21597633136093,79.21597829554372,1.9641827861960337e-06,2.4795285350992483e-08,relative,True,elastic,False
m3_j2,1,DSIGMA_DP,1,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,1,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,2,E,1,1,5.769230769230769e-05,5.7692307692332655e-05,2.496375502147874e-17,4.327050870387776e-13,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,2,nu,2,2,91.6420118343195,91.6420138051303,1.9708107998894775e-06,2.1505537886588296e-08,relative,True,elastic,False
m3_j2,1,DSIGMA_DP,2,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,2,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,3,E,1,1,5.769230769230769e-05,5.7692307692332655e-05,2.496375502147874e-17,4.327050870387776e-13,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,3,nu,2,2,91.6420118343195,91.6420138051303,1.9708107998894775e-06,2.1505537886588296e-08,relative,True,elastic,False
m3_j2,1,DSIGMA_DP,3,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,3,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,4,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,4,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,5,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,5,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,6,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,1,DSIGMA_DP,6,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
