increment,stress_component,method,E,NU,SIGY0,H
1,1,oti,  1.346153846153846E-004,  7.921597633136093E+001,  0.000000000000000E+000,  0.000000000000000E+000
1,2,oti,  5.769230769230769E-005,  9.164201183431950E+001,  0.000000000000000E+000,  0.000000000000000E+000
1,3,oti,  5.769230769230769E-005,  9.164201183431950E+001,  0.000000000000000E+000,  0.000000000000000E+000
1,4,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
1,5,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
1,6,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
2,1,oti,  2.692307692307692E-004,  1.584319526627219E+002,  0.000000000000000E+000,  0.000000000000000E+000
2,2,oti,  1.153846153846154E-004,  1.832840236686390E+002,  0.000000000000000E+000,  0.000000000000000E+000
2,3,oti,  1.153846153846154E-004,  1.832840236686390E+002,  0.000000000000000E+000,  0.000000000000000E+000
2,4,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
2,5,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
2,6,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
3,1,oti,  4.038461538461538E-004,  2.376479289940828E+002,  0.000000000000000E+000,  0.000000000000000E+000
3,2,oti,  1.730769230769231E-004,  2.749260355029585E+002,  0.000000000000000E+000,  0.000000000000000E+000
3,3,oti,  1.730769230769231E-004,  2.749260355029585E+002,  0.000000000000000E+000,  0.000000000000000E+000
3,4,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
3,5,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
3,6,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
4,1,oti,  5.384615384615384E-004,  3.168639053254437E+002,  0.000000000000000E+000,  0.000000000000000E+000
4,2,oti,  2.307692307692308E-004,  3.665680473372780E+002,  0.000000000000000E+000,  0.000000000000000E+000
4,3,oti,  2.307692307692308E-004,  3.665680473372780E+002,  0.000000000000000E+000,  0.000000000000000E+000
4,4,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
4,5,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
4,6,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
5,1,oti,  6.730769230769230E-004,  3.960798816568047E+002,  0.000000000000000E+000,  0.000000000000000E+000
