increment,state_variable,method,E,NU,SIGY0,H
1,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
2,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
3,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
4,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
5,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
6,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
7,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
8,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
9,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
10,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
11,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
12,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
13,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
14,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
15,1,oti,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
16,1,oti,  4.874206104981312E-009, -7.873717554200568E-004, -4.093198992443325E-006, -1.417669676224072E-010
17,1,oti,  4.876783686210811E-009, -7.877881339263600E-004, -4.093198992443326E-006, -4.124129967197304E-010
18,1,oti,  4.879361267440309E-009, -7.882045124326632E-004, -4.093198992443325E-006, -6.830590258170541E-010
19,1,oti,  4.881938848669807E-009, -7.886208909389665E-004, -4.093198992443326E-006, -9.537050549143779E-010
20,1,oti,  4.884516429899309E-009, -7.890372694452704E-004, -4.093198992443328E-006, -1.224351084011699E-009
