increment,method,stress_1,stress_2,stress_3,stress_4,stress_5,stress_6,EQPLAS
1,oti,  2.826923076923077E+001,  1.211538461538462E+001,  1.211538461538462E+001,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
2,oti,  5.653846153846154E+001,  2.423076923076923E+001,  2.423076923076923E+001,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
3,oti,  8.480769230769231E+001,  3.634615384615385E+001,  3.634615384615385E+001,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
4,oti,  1.130769230769231E+002,  4.846153846153847E+001,  4.846153846153847E+001,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
5,oti,  1.413461538461538E+002,  6.057692307692308E+001,  6.057692307692308E+001,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
6,oti,  1.696153846153846E+002,  7.269230769230769E+001,  7.269230769230769E+001,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
7,oti,  1.978846153846154E+002,  8.480769230769231E+001,  8.480769230769231E+001,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
8,oti,  2.261538461538462E+002,  9.692307692307692E+001,  9.692307692307692E+001,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
9,oti,  2.544230769230769E+002,  1.090384615384615E+002,  1.090384615384615E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
10,oti,  2.826923076923077E+002,  1.211538461538461E+002,  1.211538461538461E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
11,oti,  3.109615384615385E+002,  1.332692307692308E+002,  1.332692307692308E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
12,oti,  3.392307692307692E+002,  1.453846153846154E+002,  1.453846153846154E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
13,oti,  3.675000000000000E+002,  1.575000000000000E+002,  1.575000000000000E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
14,oti,  3.957692307692308E+002,  1.696153846153846E+002,  1.696153846153846E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
15,oti,  4.240384615384615E+002,  1.817307692307692E+002,  1.817307692307692E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000
16,oti,  4.467128463476071E+002,  1.966435768261965E+002,  1.966435768261965E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  3.463476070528963E-005
17,oti,  4.643010075566751E+002,  2.140994962216625E+002,  2.140994962216625E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  1.007556675062972E-004
18,oti,  4.818891687657431E+002,  2.315554156171285E+002,  2.315554156171285E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  1.668765743073049E-004
19,oti,  4.994773299748110E+002,  2.490113350125945E+002,  2.490113350125945E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  2.329974811083126E-004
20,oti,  5.170654911838791E+002,  2.664672544080605E+002,  2.664672544080605E+002,  0.000000000000000E+000,  0.000000000000000E+000,  0.000000000000000E+000,  2.991183879093195E-004
